regard,"關心,注意,尊敬,尊重,致意,問候,關系,看待,當作,重視,尊敬,關系"
coterie,"記,小屋,都在一個小屋子裡小團體,有共同興趣的,小團體,他們之間經常聚會,科裡缺,參,村舍,小屋,共同租地人,合租屋人,類,小團體團體,同行,圈內人,伙伴"
country,"國家,鄉村,山地,故鄉,鄉下的,農村的命令安裝國際字元集"
courage,"勇氣,膽量,勇敢"
covered,"隱蔽著的,掩藏著的,有屋頂的"
cramped,"狹窄的,擠在一起的,反,寬敞的,狹促的,難辨的,難懂的"
craving,"強烈的渴望,類,驚恐是特別害怕熱望是特別渴望,反,棄絕,渴望"
creases,NotFoundAnyMeanings
created,創建
creates,"創立,創建"
crochet,"記鉤針,鉤,這個單詞要先記住,蠶食,中間也有詞根鉤,一點一點的鉤出來,參見,用鉤針編織的,織物,用鉤針,編織,鉤針編織品,鉤邊,用鉤針編織"
crucial,"決定性的,重要的,嚴厲的"
crudity,"粗糙,粗野,未加工,反,微妙,精美,生,生硬,不熟"
crumble,"弄碎,把,弄成小塊,崩毀類,易碎的容易破碎可改變的容易改變反,易碎的,脆的,不易破碎的"
crumple,"弄皺,使破裂,弄皺,壓皺,變皺,崩潰,垮台"
crusade,"維護理想,原則,熱心于除惡的,運動或斗爭,源,十字,原指十字軍東征,頭字母大寫,在世紀歐洲基督徒為從穆斯林手中收複聖地耶路撒冷發動的軍事遠征,參,十字形的,十字軍戰士,改革者,十字軍東侵,宗教戰爭,改革運動,加入十字軍,投身正義運動"
cubicle,"辦公室,小方格,小房間"
cuisine,"烹調風格,烹調法,烹飪,廚房"
cult--0,"宗教膜拜儀式,異教,狂熱崇拜,個人崇拜"
culture,"文化,文明,教養,修養,栽培,培植,培養"
cumulus,"積雲,濃密,平底狀的白色雲塊,堆積物,根堆積,參考,累積的,積云,堆積"
cunning,"狡猾的,善于騙人的,精巧的,靈巧的,詭計,靈巧類警惕的不會被埋伏狡猾的不會被騙反,朴實的,坦白直率的"
curator,"博物館,收藏品展覽,圖書館等的館長,管理員,照顧展品"
curious,"形容詞,好奇的,渴望知道的,愛探究的"
current,"當前的湧流,趨勢,流流通的,現在的,最近的"
curtain,"帳,幕,窗簾,裝簾子於,遮掉"
cushion,"墊子,橡皮軟墊,加墊褥,緩沖,掩蓋"
custody,"名詞,保管,監護,拘留"
customs,"關稅,報關手續,海關出入境口"
cutback,"名,減少,減下回來往回減下"
cuticle,"記切,小東西切下來的小東西表皮,表皮,脊椎動物皮膚的最外層,表皮"
cutlery,"記切,刀,叉,匙等,餐具,刀具業,餐具"
cutting,"形容詞,作切割用的,銳利的,鋒利的,刺骨的,名詞,切割,剪,砍,剪報"
cyclone,"旋風,颶風,暴風,龍卷風,氣氣旋"
cynical,"憤世嫉俗的,衍,憤世嫉俗者,解,翻,憤世嫉俗的,這種人對他人的動機是,懷疑的,認為,人都都是自私的,不不可,能有慈善或犧牲奉獻這種事存在,出現時,呼應的關鍵字是,或"
cypress,"記,壓,看上去有被壓的感覺想象一下迎客松的樣子,柏樹,一種常綠樹,作為悲哀象征的,柏樹枝,植柏科樹的,柏木屬植物,原產北美,歐,亞,柏樹枝,用作哀悼的標志"
damaged,"受損的,遭破壞的"
dappled,"記中間有一個,蘋果上一般都有斑點,有斑點的,斑駁的,類,有條紋的有刻痕斑駁的有斑點,有斑點的"
dashing,"記,急沖,突進,精力充沛的,闖勁十足的,服飾華麗時髦的,活躍的,浮華的"
daytime,"白天,日间,昼日"
deadpan,"在行為或表情上,冷若冰霜的,泠漠乏味的,茫然的,毫無表情的,冷面孔類厚顏無恥對厚顏無恥的冷漠對冷漠的洞察力對有洞察力的"
dealing,"交易,與他人交往時的,行為舉止,反,強辯,欺騙,以誠相待,行為,交易"
debased,"降低品質,價值等,貶低人格,使貨幣貶值"
debouch,"記向下,嘴從嘴中向下流哈喇子,向下,讀抱吃你說,一邊抱著,一邊吃飯,能吃的好嗎在趕上很,哈喇子就順著嘴留下來了不過和,放蕩,要區分,這裡的象花,中的象嘴,流出,進入,軍隊從窄而有限的區域至開闊的地方,溢出,流出,使流出"
debrief,"聽取匯報,簡報,向,詢問,記,向下,向下簡報"
decency,"正派,体面,礼貌"
decibel,"分貝,聲強單位,類,分貝是聲強單位流明是光單位伏特是電單位瓦特是能量單位,分貝是音量的單位光年是距離的單位,分貝"
decided,"清楚的,明硭的,肯定的堅決的,堅定的,決定了的"
declaim,"高談闊論,慷慨陳詞,記,向下,喊叫,向台下觀眾喊叫高談闊論"
declare,"斷言,宣稱,宣佈,宣告,聲明,申報,聲明,表明"
decline,"衰微,跌落,下降,使降低,婉謝,下降,衰落,偏斜"
decorat,NotFoundAnyMeanings
deem--0,"認為,相信,持某種看法"
default,"拖債,未履行,財政上的義務,計算機默認值類,拖欠是不付款屈服是不抵抗反,償還債務,履行義務"
defiant,"公然違抗的,反抗的,挑釁的"
deficit,"名詞,不足額,赤字"
defined,"被定義的,清晰的,反,含糊的,不清楚的,曖昧的"
defraud,"騙取,詐取,剝奪"
defy--0,"不服從,公然反抗,藐視,挑舋,違抗,使,難于,挑戰"
degrade,"使,降級,使,墮落,使,退化"
delayed,"延時的,遲發的"
delight,"動詞,使高興,名詞,欣喜,愉快"
deliver,"投遞,傳送,發表,表達,移交,交付,釋放,解救,接生"
denizen,"記,獸穴,住在獸穴裡的人一外來居民,因為毛多,居民,外籍居民,有居住權有時也有公民權的外來居民,老主顧,參,城市居民,居民"
denture,"記牙一假牙,因為真牙掉了會產生凹,裝了就不會自然,假牙,參,牙醫,類,假牙是假牙齒假發是假頭發,一副假牙,一副牙齒"
deposit,"儲蓄,付,使沈澱,使淤積存款,保証金,沈積物,礦床"
deprive,"剝奪,使喪失,剝奪,私人的"
derived,"衍生形成或發展其他的東西,而不是原來"
descend,"下來,下降,遺傳,指財產,氣質,權利,突擊,出其不意的拜訪,下去"
descent,"名詞,下降,下傾,血統"
deserts,NotFoundAnyMeanings
desired,"渴望得到的,想要的"
desires,NotFoundAnyMeanings
despise,"鄙視,瞧不起"
despite,"介系詞,不管,儘管,任憑"
destroy,"破壞,毀壞,消滅,打破,使失敗"
details,"細節,詳情"
deviant,"越軌的,超出常規的,記法離開道路離開道路"
deviate,"脫離,出軌,使偏離,脫離常規的脫離常規的人"
devious,"狡猾的,不正直的,彎曲的,記法,離開,道路"
devoted,"虔誠的,表示強烈的愛慕,熱情的,投入的參,信徒,愛好者,投入于,獻身,類狂熱的是十分有熱情的崇拜的是十分忠誠的狂熱者是過分熱衷的故作正經者是過分得體"
devotee,"热爱者,迷恋者,皈依者,信徒"
diagram,"名詞,圖表,曲,線圖"
dialect,"方言,土語,地方話"
diehard,"頑固分子,守舊派,類,敷衍不坦白改變立場不頑固,奇特行為不能預知頑固份子不能動搖,頑固的人保守狂燥者騷動,頑固分子"
digging,NotFoundAnyMeanings
dignity,"尊嚴,莊嚴,高貴的"
digress,"記脫離,走走脫離了主題離題,離題,脫離寫作或演說主題,類,離群離開群體離題離開主題繞路而行離開路線,離題是離題的反複說是多余的,離題話離題摘要摘錄,同義,離題"
diocese,主教教區
dire--0,NotFoundAnyMeanings
discard,"動詞,拋棄,摒棄,丟棄,名詞,拋棄,丟棄"
discord,"不調和,不和,不一致,傾軋"
discuss,"討論,商談"
disease,"名詞,病,疾病"
disgust,"厭惡,嫌惡,令人厭惡,令人反感,使作嘔"
dislike,"動詞,不喜愛,厭惡,名詞,不喜愛,厭惡"
display,"顯示,陳列,炫耀,顯示,表現,誇示顯示器,顯示"
dispute,"爭論,爭執,爭論,爭執,爭論,爭執"
disrupt,"使中斷,使分裂,使瓦解,使陷于混亂,破壞"
dissect,"記分開,切分開切解剖,分開,宗派,部分,把人分成部分解剖,解剖,仔細檢查,分析或詳細評論,參,解剖,類,解剖標本解析句子,把,解剖,動植物等,切開仔細研究,把,切成碎片"
distaff,"女性,女性的"
distain,"貶損,傷害某人的名譽,弄髒"
distant,"遙遠的,遠方的,遙遠的國家"
distort,"歪曲,曲解扭曲,使變形"
disturb,"弄亂,打亂,打擾,擾亂"
diverge,"改變方向,使分叉,散開,分歧,離題"
diverse,"不同的,多種多樣的"
divided,"分割的,分開的,分離的,形"
divulge,"洩漏,透漏,記法使普通人知道洩漏"
donates,"捐獻,捐贈"
dossier,"記,磁盤操作系統,當今的時代是電腦的時代,卷宗再也不記錄在紙上了,而是存儲在上,法卷宗,有關某人或某事的材料匯編,全套檔案,類,股票總稱對股票卷宗對案例,法,檔案,卷宗"
doubted,懷疑
dour--0,"嚴厲的,臉色陰沉的,悶悶不樂的,固執的類臉色陰沉的不親切自大的不謙遜反,適意的,親切的,歡樂的,高興的"
drained,精疲力竭的
drastic,"形容詞,激烈的,極端的"
drizzle,"下細小,輕柔,似霧的雨,毛毛雨"
drizzly,下毛毛雨的
droplet,"記,滴,小小水滴,小滴,類,暴雨對小水滴山崩石對小卵石,小滴"
drought,"旱災,旱季"
ductile,"形,易延展的,柔軟的,領導引導,的,形容詞可以引導出其他功能的"
dullard,NotFoundAnyMeanings
dutiful,"富于責任感的,盡職的,源,義務,責任,稅,忠實的,順從的,守本分的,恭敬的,孝敬的"
dwindle,"減少,縮小,衰落,使縮小"
dynamic,"動態的,有動力的,有力的,動力的動力,動態"
eagerly,"渴望地,急切地"
earlier,"早期的,初期"
earplug,"記耳,塞子,插頭,插銷,一耳塞,耳塞,擋住水,塵或聲音的進入,耳塞耳機,參,耳環,環,類,耳塞可以避免噪音盾牌可以避免攻擊,耳塞"
earring,"名,耳環,耳朵用於,的物品,名詞用在耳朵上的物品"
earshot,"記耳,射程,聽力范圍,聽力距離,在沒有輔助儀器的情況下所能聽到的聲音范圍,類,聽力范圍之內能聽到視野之內能看到,聽力所及之范圍"
earthly,"現世的,可能的,地球的,俗世的"
echelon,"記出,車,出一隊長長的車,可能是小克同志來了在車隊的前方有摩托車護衛隊,他們的形狀就是梯形的,階層等級製中的權力或責任,等級,梯隊,軍隊的一種隊形,類,等級層次,軍梯形,梯陣,梯次編隊,排成梯隊,排成梯隊"
economy,"經濟,節儉,秩序,機體"
ecstasy,"無法自控的情緒,狂喜"
edifice,"大廈,大建築物,基礎,基本結構"
efforts,的名詞複數
elastic,"形容詞,有彈性的,有彈力的,名詞,橡皮帶,鬆緊帶,橡皮圈"
elegant,"優雅的,講究的,簡明,儉約的"
ellipse,"記出,唇趕快找一面鏡子,看看你能不能把嘴撅成圓的,如果不能,該詞是橢圓,如果能,該詞也是橢圓,因為圓的你已經認識了繼續,繼續,如果你對個噘嘴,是不是就可以省略了,了所以往下看,橢圓,形,源原是變短的意思,后來因為橢圓的一部分離中間比較短,所以成了橢圓的意思,數橢圓,橢圓形"
embrace,"擁抱,擁抱,互相擁抱,包含,收買,擁抱"
eminent,"顯赫的,傑出的,有名的"
emotion,"情緒,情感,感情激動"
empower,"授予權力,允許,使能夠"
enchant,"施展魔力,迷惑,使著迷"
enclose,"隨信,或包裹,附上把,圍起來,圍住"
enemies,"敵人,複數"
enflame,"記進入,火焰,激情,進入激情,發火,激起,強烈的感情或行動,使憤怒或激動,燃燒"
engaged,"從事,的,忙於,的,已訂婚的"
engages,從事
engrave,"雕刻,線條,文字,圖案,于一硬面上,深印于,心上,使銘記,銘刻"
engross,"記進入,總的,總額,全部進入狀態使全神貫注,使全神貫注,用大字體書寫,吸引,占用,使全神貫注,獨占"
enhance,"動詞,提高,增加"
enlarge,"擴大,放大,擴大,詳述"
ennoble,"封,為貴族,使高貴,反,貶低,降低,封,為貴族,使高貴"
enraged,"激怒,使憤怒"
entitle,"給,權利,給,題名,給,稱號"
entrust,"記,信任,信賴,我把事情委托給你是對你的一種信賴,委托,把某物交與他人照顧,管理,保護或運行,托付,委托"
envelop,"包,裹,封,包圍,裝入信封"
environ,NotFoundAnyMeanings
epaulet,"記讀挨炮,讓向我開炮我是人民解放軍肩章,出,讀跑,讓讓你出去跑圈,因為他的肩章上的星星多,你不服不行,軍服上有流蘇的,肩章,肩飾,類,肩章戴在肩膀上戒指戴在手指上,軍肩章,肩飾"
epicure,"記,伊壁鳩魯古希臘唯物主義和無神論者,主張享樂的生活,出,治療,出門治療,因為昨天吃的太好了,太飽了,所以導致,美食家,在食物和酒方面很有品味的人,追求快樂和奢侈生活的人,參,伊壁鳩魯的,享樂主義的,類,美食家,老饕,古享樂主義者"
epigram,"警句,諷刺短詩,機智短詩,表示簡單思想的短小機智的詩,常常似是而非的陳述,參,節目,程序,計劃,電報,類諷刺畫的特點是夸張警句的特點是簡潔"
episode,"名詞,一個事件,一節,一齣,一集"
epitaph,"記在,上,墓,在墓碑上刻的字墓志銘,出,深坑,陷阱,從一個坑裡出來的是墓碑,墓碑上是墓志銘,墓志銘,刻于墓碑上用以懷念死者的碑銘,悼文,紀念死者的短篇文學作品,類,墓志銘刻在墓碑上座右銘刻在盾上,墓志銘,碑文"
epithet,"記在,下,放把人放到下面的話貶低的語言,出,神用對著神是一種侮辱,帶侮辱性的,單詞或短語,稱號,綽號,類,貶低人的話貶低別名誤導,綽號,稱號"
equator,"名詞,赤道"
erasure,"擦掉,消除,類,無法消除不能被消除無法穿透不能被穿透,擦除,抹掉,擦除,或刪去,的字,記號等"
erudite,"博學的,飽學的參,初步,入門,基礎知識,類特別有文化的是博學的特別不安的是狂亂的博學的容易深入了解健忘的容易疏忽反,一知半"
essence,"名詞,本質,要素,精華,精油"
etching,"蝕刻版畫,銅版畫,蝕刻術"
eternal,"形容詞,永久的,永恆的"
euphony,悅耳的語音
evasion,"記源于,規避,逃避,遁辭,借口,一種逃避手段,逃避,類,嚴酷逃避,借口,逃避,借口"
evasive,"難以發現,捕捉,分離的,含糊其辭的"
evident,"形容詞,明顯的,明白的"
exacing,NotFoundAnyMeanings
exactly,"剛好,恰好,精準地,精準地"
examine,"檢查,細查,對,進行考試,檢查,細查,調查"
example,"實例,模範,榜樣,代表,作為,的示範,例子"
excited,"形容詞,感到興奮的"
exclaim,"呼喊,驚叫,大聲說,呼喊,驚叫"
exclude,"動詞,拒絕接納,排除在外"
excused,對不起
execute,"執行,實行,完成,處死,制成,律經簽名蓋章等手續使,証書,生效"
exhaust,"使筋疲力盡,耗盡,抽完,汲幹,排出氣體,被排出排氣,排出"
existed,"存在,實際上有"
exiting,"出口,通道,太平門"
expends,NotFoundAnyMeanings
expense,"花費,消費,消耗,開支,經費,費錢之物"
expiate,"贖罪,為所犯罪過補償"
explain,"解釋,說明,解釋,說明,辯解"
explode,"使爆炸,使爆發,破除,駁倒,爆炸,爆發,突發"
expound,"解釋,詳細說明"
express,"表達,表示,表現,壓榨,榨出直達快車,快郵,快件,特快的,特殊的"
expunge,"記出,刺把刺挑出刪除,從書本上等完全,刪除,沒用的東西,如字,章節等,參,辛辣的,刺鼻的,擦去"
extinct,"滅種的,消忙了的,法令,過時,失效的"
extract,"榨出物,精汁,選粹,摘錄,析取,吸取"
extreme,"末端的,盡頭的,極度的,極端的極度,最大程度"
faction,"派別,小集團,派系之爭"
factors,"因素,因數,因子"
faddish,"趨于時尚的,風行的,流行的"
failing,"失敗,不及格,缺點,弱點,短處如果沒有,如果,失敗"
failure,"失敗,不及格,失敗者,失敗的事,失靈,故障,未能"
fallacy,"錯誤的觀念或信念,謬見,謬論,徒勞,無效"
fanatic,"狂熱者,盲信者,入迷者,狂熱的,盲信的"
fantasy,"幻想,白日夢"
faraway,"形容詞,遙遠的,遠方的"
farming,"務農,畜牧,養殖,農場經營"
fateful,"命中注定的,與命運有關的,重大的,致命的"
fatigue,"疲乏,疲勞,累活,軍雜役,使疲勞,使心智衰弱,疲勞"
fatuity,"自以為是的完全的愚蠢,完全愚蠢的事,反,聰明,睿智,愚昧,昏庸,愚蠢的言行"
fatuous,"中愚蠢的,自我感覺良好的,記,胖,禿,又胖有禿的,笨蛋"
fawn--0,"阿諛奉承,狗等,搖尾乞憐源原指未滿歲的小鹿,其特點是巴結奉承他的媽媽,以獲得奶水類奉承不專橫含糊其詞不直截了當詳細描述不粗略奉承的奉承順從的屈服屈尊的惠顧"
fawning,"奉承的,搖尾乞憐的,類,頑固的人任性奉承的人奉承"
fearful,"可怕的,害怕的,擔心的,非常的"
feature,"特徵,特色,面部特徵,相貌,特寫,特載,以,為特色,扮演重要角色"
feel--0,"有知覺,有感覺,摸上去有某種感覺,感覺,覺得,以為,認為,摸,觸,試探"
feeling,"感情,心情,同情,體諒,知覺,觸覺,感覺,富有感情的,衷心的"
feigned,"記,假裝,捏造,裝作,佯攻,有些總是牛人,傻,假裝的,不真誠的,編造的,虛構的,反,誠懇的,真實的,假的,偽裝,做作的,捏造的"
ferment,"酵素,發酵,動亂,使,發酵,使,激動,使,動亂"
ferrous,"記鐵,渡船,是的,含鐵的,鐵的,參,鐵,鋼筋混凝土,反,不含鐵的,鐵的,含鐵的,化亞鐵的"
fertile,"肥沃的,富饒的,豐富的,能繁殖的,可生育的"
festive,"節日的,喜慶的,歡樂的"
feud--0,"不和,部落或家族間的,世仇,封地,爭執,長期不和,長期爭斗"
fiction,"小說,虛構的故事,法律的擬制"
fighter,"戰士,鬥爭者,戰鬥機"
figment,"虛構的東西,無中生有的事物"
figures,"轮廓,人物,身形,雕像,数字,的名词复数,算术,图解,轮"
filings,"記,文件,銼刀,把,歸檔,銼,金屬的,銼屑,銼末,類,金屬的銼屑木料的刨花,銼屑,銼末"
filling,"充填物,填料,填土"
fine--0,"罰款,罰金,晴天,好的,晴朗的,健康的,細小的,精細的,罰款,精煉"
finicky,"苛求的,挑剔的,在自己想要得到的東西上任性地堅持,很難令自己滿意,類過分拘謹的過分注意禮節過分挑剔的過分注意質量"
firearm,"記火,武器槍支,便攜槍支,手槍或步槍,類,銀板照相是早期相片毛瑟槍是早期火器,火器,槍炮"
firefly,"記,蠅,火蠅螢火虫,螢火虫,腹部的后端有發閃爍冷光的物質,螢火虫"
fissure,"裂縫,裂溝,使,裂開,使,分裂"
fitness,"適合,適當,健康,健身"
fitting,"形容詞,適當的,合適的,相稱的,名詞,試穿,裝配,安裝,傢俱"
flaccid,"肌肉,松弛的,軟弱無力的參,軟弱,無力,反,堅定,穩固,軟弱,無力"
flag--0,"使虛弱無力,源,利用,旗子,的意象去想,沒有風吹的時候旗子,垂掛,在桿子上,衍,例,解,小心這類看似簡單字,翻作,衰退,疲軟,類,罪大惡極的,罪大惡極的"
flatcar,"記平,車,平底鐵路貨車,沒有側板或蓋板,類,機車拖平台貨車拖船拖平底貨船,無蓋貨車,平台貨車"
flatten,"變平,變單調,使平,變平,打倒,使失去光澤"
flatter,"過分誇贊,奉承,阿諛,使高興"
flaunty,"炫耀的,張揚的"
flit--0,"記,飛過它這塊大石頭輕快地走,掠過,輕快地走,迅速而靈活地走,掠過,類,迅速飛過是快移動突然說出是快出聲,反,沉重的走,沉重的腳步,掠過,遷徙,迅速飛過,鳥,蝙蝠等,飛來飛去"
flowery,"多花的,絢麗的,華麗的"
fluency,"名詞,流暢,流暢的說話,或寫作"
flutter,"摆动,鼓翼,烦扰,鼓翼,飘动,悸动,乱跳,烦扰,拍,翅,使焦急"
fluvial,"河流的,河的沖積作用形成的,類,河流的對河流恆星的對恆星,河流的,生長在河中的,河流沖刷作用形成的"
foil--0,"箔,金属薄片,建叶形片,烘托,衬托,衬托,阻止,挡开,挫败,贴箔于"
folding,"可摺疊的,摺疊式的"
foliage,"葉子,記,葉子"
follows,"跟隨,遵照"
foolish,"愚蠢的,傻的,荒謬的,可笑的"
foppish,"似,紈褲子弟的,浮華的,俗麗的"
forcing,"施加壓力,加強顯影,加壓"
foreign,"外國的,無關的,不相干的,外來的,異質的"
forever,"永遠地,無窮無盡地"
forgery,"偽造物,偽造罪,偽造"
forgive,"原諒,寬恕,免除"
forming,"成型,形成的"
formula,"公式,方程式,製法,配方"
forsake,"拋棄,遺棄,革除"
fortune,"財富,運氣,興隆,大量財產,好運,命運"
forward,"向前的,早的,迅速的,在前的,進步的,轉寄,促進,運送,向前地,轉信,可將某封信件轉送給某位用戶或某一站"
fragile,"易碎的,易損壞的,脆弱的"
frantic,"瘋狂的,由于強烈的情感或巨大的挫折而高度興奮的,狂亂的,行為急速紛亂或緊張的"
freckle,"記讀,摳動不動就摳臉雀斑,不要,激烈質問,詰問讀黑客,美女,為什么,雀斑,皮膚上的棕色小斑,經太陽的暴晒變得更暗,更多,區,皮膚的斑點,磕,雀斑,斑點"
freedom,"自由,自主,免除,解脫"
freeing,"解除,釋放"
freight,"船貨,運費,貨運,裝貨,使充滿,運送"
fret--0,"煩躁,磨損,焦急,網狀飾物,煩惱,不滿,磨損,使煩惱,腐蝕,使磨損"
fretful,"煩惱的,焦躁的,煩惱,多,的"
friable,"記源于,虛弱的,意志薄弱的,易碎的,易碎的,類,易碎的容易打碎可改變的容易改變,不受損傷的不是易碎的不燃燒的不是燃燒的,易碎的,脆的"
friends,"朋友,複數"
froward,"難駕馭的,剛愎的"
fuel--0,"燃料,木炭,加燃料,供以燃料,得到燃料"
fulcrum,"記讀分開,給我一個支點,我將分開,杠杆的支點,支柱,杠杆的支點,支點,葉附屬物"
fulfill,"履行完成達到,目的"
funeral,"喪葬,葬禮,喪葬的,出殯的"
furious,"憤怒的,狂怒的,有力的,猛烈的"
gaining,"獲得,得到"
gallant,"勇敢的,向女人,献殷勤的"
gangway,"記肛,路,一跳板,惡心,不作詳細解釋,上下船的,跳板,類,進入城堡要通過可拆卸吊橋進入船要通過可拆卸跳板,過道,劇場,火車等,座間通道,美國作,舷側門,舷梯,通路,跳板,讓路躲開"
garbled,"引起誤解的,混淆的,歪曲的類歪曲的不容易理解模糊的不容易認出搖搖欲墜的不穩固混淆的不清晰"
garment,"名詞,服裝,衣著"
garnish,"装饰,文饰,给,加配菜,法传讯,装饰,装饰品,华丽的词藻,配菜,俚勒索金"
gaseous,"形容詞,氣體的,氣體狀態的"
general,"一般的,普通的,總的,大體的,普遍的,全體的普通的事或物,將軍"
genetic,"形容詞,基因的,遺傳,學,的"
genuine,"真正的,名副其實的,真誠的,坦率的"
gesture,"手勢,姿態,作手勢,作姿態"
ghostly,"鬼似的,幽靈似的,可怕的"
gimmick,"記原指秘密地和欺騙地控製賭博器具的機械裝置,源于口語,或,商家的吸引人的小花招目的就是你的,商家的吸引人的小花招,具備創新性,暗機關,使暗機關"
glacial,"記,上釉,釉,和都是光滑的,冰期的,寒冷的,象冰河一樣,運動極慢的,類,極冷是很冷極深是很深,極慢的緩慢的,冰的,冰狀的,冰河的,冰河時代的,冰冷的"
glances,NotFoundAnyMeanings
glaring,"耀眼的,華麗而俗氣的,怒目而視的,類,耀眼是十分明亮震耳欲聾是十分大聲,反,不易被察覺的,耀眼的"
glib--0,"流利圓滑的,常含有不誠實,輕率或欺詐之舉動,即興的,從容的,不經思索,準備或考慮的,類笨拙的無技巧不經思索的無深刻"
glimmer,"記,燈火,微弱的跡象,發微光,暗淡,微弱,柔和的閃光,搖曳的微光,跡象,類,發微光對發強光低聲說對大聲說,閃爍,閃光"
glisten,"闪光,闪亮,闪光,闪耀"
glowing,"熱情的,色彩鮮明的,白熱的,反,中傷,誹謗,熱情的贊詞"
glut--0,"大量,充斥,吃飽,使充滿,使吃飽,過多供應,狼吞虎咽"
glutton,"記,過食,噸吃一噸東西的人貪吃者,貪吃者,吃過量的食品和飲料的人,類,貪吃者特點是放縱禁欲者特點是自我克製,反,貪吃的,節製的,暴食者,酷愛,的人"
gnarled,"記來自,木節樹上或木頭中的結或樹瘤,源于,繩等的結,樹的節,打結,樹木,多節的,脾氣壞的,易怒的,因為飽經風霜,年老或勞累而,粗糙的,多瘤的,粗糙的"
gorilla,"記源于希臘語,多毛女人的部落,看成,啦總是和大猩猩在一起就會,污物大猩猩很臟,身上還有病,大猩猩,大猩猩,壯而殘暴的男人,俚歹徒,尤指使用暴力者"
gourmet,"記是指對食物和酒的味道有鑒別力的人,這個意思跟,相同但是還可以指吃大量食物的人,與,意思更相近,但這個詞有時候有過度挑剔食物的含義,美食家,美食和美酒的品嘗家,類,愛書者喜歡書籍美食家喜歡食物書法家喜歡書法,能精選品評美食,美洒的人"
gradual,"逐漸的,漸增的,徐徐的贊美詩"
grafted,NotFoundAnyMeanings
grammar,"語法,基本原理"
granite,"記,谷物,顆粒,一晶粒粗糙的石頭一花崗石,花崗石,一種晶粒粗糙的淺亮色堅硬的火成岩,主要由石英,正長石及雲母組成,用于紀念碑和建築物,堅固耐久,堅韌不拔,類,鐵是一種金屬花崗石是一種岩石,花崗岩"
granted,"假定,就算不把,當回事,對,不予重視認為,是理所當然的,對,想當然"
graphic,"生動的,寫實的,電腦,繪圖的"
grating,"聲音,刺耳的,使人煩躁的,類,刺耳的聲音辛辣的氣味惡臭的氣味"
greater,更大的
greatly,"頗,非常,雄偉地,偉大地"
grenade,"記軍隊的顏色,表示進攻性,手榴彈,榴彈,裝有化學製劑的玻璃容器,參,十字軍東侵,改革運動,長篇激烈演說,槍炮的齊射,手榴彈"
grimace,"記,猙獰可怕的,可怕的臉一鬼臉,讀鬼魅或鬼沒死才有作鬼臉的可能性,做鬼臉,面部極端扭曲以表示痛苦,輕蔑或厭惡,面部的歪扭,痛苦的表情,類,扭彎身體扭曲臉部,懊惱是情緒不好面部扭曲是臉不好,面部的歪扭,痛苦的表情,鬼臉,扮鬼臉,作苦相"
