disperse--0,"分散,傳播,散開,分散,分散的"
continuously,"繼續的,連續的,不停地,中間無間斷"
contributing,"貢獻,促成"
conundrum--0,"答案有雙關意義的,謎語,難題"
convalescent,"康復中的,恢復期的,記諧音,康復"
conventional,"傳統的,習慣的,慣例的"
conversation,"會話,談話,會話,談話"
convivial--0,"好交際的,喜歡宴會,喝飲和交際,歡樂的,狂歡的參,生動的,鮮艷的,使蘇醒,使再生效,類,好交際的好社交"
coplementary,互補
correlate--0,"有相互關系的東西,相關物,使有相互關系,互相有關系"
corroborated,證實
corrosive--0,"記源于,侵蝕性的,腐蝕的,腐蝕性的,腐蝕劑,類,腐蝕劑用來蝕刻粘合劑用來粘合,腐蝕的,蝕壞的,腐蝕性的,腐蝕物,腐蝕劑"
counterpoint,"對位法,旋律配合,重復旋律"
cowardice--0,"怯懦,懦弱,胆小"
credulous--0,"輕信的,易信的,記法相信太多輕信"
decadence--0,"衰落,頹廢,記法,十年之後,很衰敗"
deceptive--0,"有欺騙成分的,騙人的,造成假像的,這是一種錯覺從外面看這棟建築物很小,但內部空間卻相當大"
deference--0,"有禮貌的,聽從,尊敬類節儉的不是吝嗇的尊重不是奉承的,反義關系,效法榜樣尊重權威可仿效的可以模仿虔誠的可以尊重反,厚顏無恥"
delineate--0,"描繪,的輪廓,描繪,描寫"
demanding--0,"要求多的,要求高的,難搞的"
demonstrated,能夠證明的
demystify--0,"弄清楚,除去,中的神祕因素"
denigrate--0,"污蔑,人格或名譽,誹謗參,同黑人友好者,使變黑,詆毀,貶低,反,尊敬,給以榮譽,晉升"
denomination,"命名,一個階層或團體的名稱,種類,數值,大小,長度,幣值的,單位,類,硬幣通過單位表示大小官員通過官銜表示大小,命名"
denunciation,"記公開指責,公開指責,指控,類,苛責是十分譴責駁斥是十分否定贊頌優點,痛罵指責,反,贊詞,頌詞,貢品,頌詞,贊美,譴責,告發"
denunciatory,"譴責的,指責的譴責"
deprecate--0,"反對,輕視,蔑視類,貶低價值限製直徑反,贊美,自夸,吹噓,背書同意"
desertion--0,"離棄,遺棄,擅離職守,開小差,沙漠動詞"
desirability,令人滿意的程度
desperate--0,"不顧死活的,危急的,令人絕望的,極渴望的"
desultory--0,"不連貫的,從一件事跳到另一件事,隨意的,任意的參,商議,請教,參考,侮辱,類散漫的缺乏計劃疲倦的缺乏精力容易的缺乏深刻反,勤奮的"
detection--0,"察覺,發覺,偵查,探測,發現"
deterrent--0,"制止,防止,挽留挽留的事物,妨礙物"
deterring--0,"威懾住,嚇住,使斷念"
developments,NotFoundAnyMeanings
dexterous--0,"靈巧的,熟練的,慣用右手工作的參,懷有二心的,非常靈巧的,類靈巧的是熟練操作的特征預見性的是預言的特征有洞察力的監視"
dichotomy--0,"二分法,矛盾,分歧"
difficulties,"有困難,處境困難"
diffident--0,"缺乏自信的,怯懦的,硬不起來,羞怯的"
disaffect--0,"記不,感動,不再感動不滿,使成為敵人,使不滿,使不忠,使失去親情或忠誠,反,爭取過來,拉攏過來,戰勝,平息,使不滿意,使疏遠,使成為敵人"
disaffection,"不滿,不平對當局,政府"
disagreeable,"不愉快的,不為人喜的,厭惡的,令人討厭的,好爭吵的,脾氣暴躁的,參,使人愉快的,愜意的,類,特別不滿的是憎恨的特別有害的使致命的"
disagreement,"意見不同,不調和,爭執,不和"
disagrees--0,"不一致,不符"
discomfit--0,"使尷尬,破壞,擾亂計畫,使為難,挫敗"
discomfiting,"破壞,擾亂,計劃,使為難,挫敗"
discomfiture,"狼狽,難堪"
discourse--0,"談話,演講,談論,演說"
discredit--0,"誹謗,使,被懷疑,不信,喪失名譽,的事,比如小克和小萊,類勸誡性的講話激發辱罵話使羞辱"
discriminate,"區別,辨別,有差別地對待,我們的老師從不給優生以特殊對待,罪行"
disgustingly,討厭地
dishonorable,"不名譽的,可恥的"
disinfectant,"消毒的,殺菌的消毒劑,殺菌劑"
dislocate--0,"脫臼,使,脫位,使交通,機器,事務等,混亂"
disparage--0,"蔑視,貶損,使失去信譽"
disparate--0,"迥然不同的,根本上的種類有區分,參,職位,數量,質量不一致,不同,相等,反,同類的,相似的,類似的,相似的,相似的"
dispersal--0,"散佈,分散,消散,驅散,疏散"
disregard--0,"不理會,忽視,思想不集中或缺乏應有的考慮,不尊重,漫不經心地對待,類輕視是嘲弄性的忽視通過奚落來刺激是嘲弄性的挑舋,可怕的讓人敬畏應受斥責的讓人斥責可鄙的讓人蔑視"
disregardful,NotFoundAnyMeanings
disreputable,"記,名聲,品格不端的,聲名狼藉的,邋遢的,參,壞名聲,聲名狼藉的,破爛不堪的"
dissatisfied,"不满意的,不高兴的"
dissemble--0,"隱藏,掩飾,記法否認相同假裝,掩飾"
dissertation,"記,論述,博士學位論文,專題論文,長而正式的論文,學位論文,學位,論文,專題,論述,學朮演講"
dissident--0,"意見不同的,不同意的,不贊成的意見不同的人,不贊成者"
dissipate--0,"驅散,使,云,霧,疑慮等,消散,浪費,金錢或時間"
dissociation,"記分開,社會,同伴同伴分開分離,分離,脫離關系,反,聯系,加入,分裂"
dissonant--0,"不和諧,不一致,同,不和諧音,克萊茵樂譜中刺耳的不和諧音"
distorted--0,"扭曲的,被歪曲的"
divergent--0,"分叉的,離題的,有分歧的,類,即興演講是即興的離題話是離題的,反,匯合,分歧,統一,分歧的"
dogmatism--0,"獨斷,武斷,教條,這本書顯得很是教條"
domesticated,"喜歡家庭生活的,指動物,被馴茲了的"
downright--0,"完全的,十足的,率直的,坦率的,直截了當的"
draconian--0,"極其殘酷的,十分嚴厲的,源德拉古,雅典政治家,製定了雅典法典,雖然因其公平受到贊揚,但因其嚴酷而不受歡迎,類,繁榮的對繁榮嚴厲的對嚴厲"
duplicate--0,"復制,使加倍復制副本,復本,復製品,復制的,二重的"
duplicity--0,"奸詐,狡猾,搞兩面派,口是心非,不誠實,表里不一"
earsplitting,"記耳,劈開,聲音大的可以劈開耳朵震耳欲聾的,震耳欲聾的,過于響亮足以傷及耳朵的,類,震耳欲聾的響亮的令人心碎的傷心的,程度,震耳欲聾的聲音,震耳欲聾的"
ebullient--0,"奔放的,興高采烈的,記法牛熱情的,活潑的"
economically,"節約地,節儉地,節省地,經濟地在經濟上"
effortlessly,"輕鬆地,毫不費勁地"
egregious--0,"罪大惡極的,源,太壞了所以要排除於人群之外,比較,喜歡交友的"
electrically,"電地,有關電地"
eloquence--0,"雄辯,流利的,口才"
elucidate--0,"闡明,說明,通過解釋使清楚容易,參,說明,闡明,類教唆的目的是鼓勵闡明的目的是使清晰反,斷章取義,混淆,使模糊,暗的"
embellish--0,"裝飾,添加細節類裝飾不朴素摻假不純潔概括特點是簡短裝飾特點是裝飾"
embezzlement,"盜用,挪用類偽造物是贗品貪污是欺騙"
emergency--0,"緊急情況,突然事件,非常時刻"
empirical--0,"完全跟據經驗的,經驗主義的"
enclosure--0,"名詞,封入,圈地,圍牆,附件"
enlightening,"有啟迪作用的,具啟發性的"
entanglement,"糾纏,捲入,纏繞物"
enthusiastic,"熱情的,熱心的,熱烈的"
entrepreneur,"企業家,事業創辦者"
ephemeral--0,"朝生暮死的,短暫的,生命短暫的"
epitomize--0,"摘要,概括,代表,體現,是,的典型範例"
equitable--0,"公平合理的,公正的,合理的稅收制度"
equivocal--0,"模稜兩可的,不明確的,不確定的"
equivocation,"模棱兩可的含糊話,類,含糊其詞的目的是哄騙解釋的目的是啟發,含糊其詞不會清楚支吾不會真實,含糊其詞是含糊的陳詞濫調是陳腐的矛盾修飾法是不調和的,模棱兩可的話,含糊話"
erroneous--0,"記犯錯誤,差開正道,離題錯誤的,不正確的,錯誤的,類,澄清可以消除被誤解的事轍消可以消除錯誤的事,錯誤的,不正確的"
establish--0,"建立,設立,安置,使定居,確立,使確認,使得到承認"
estrangement,"記,疏遠,陌生的,生疏的,疏遠,反,和解,調和,順從,和睦,疏遠"
ethnology--0,"人種學,人類文化學"
euphemism--0,"委婉的說法,用適度的,不直接的,含糊的詞來取代令人感到粗魯的,過于率直的,具有冒犯性的詞,參,短暫的,類委婉說法不會冒犯含糊其詞不會真實困惑不會清楚"
evocative--0,"引起記憶的,喚起感情的"
exaggeration,"誇張,言過其實"
excitability,"易興奮性,易激動性,反,遲鈍,無精打采,鎮靜,物可激發性,醫興奮性"
excoriate--0,"痛責,剝,皮,嚴格低"
exculpate--0,"開脫,証明無罪或無責任,參,犯人,該責備的,有罪的,反,歸罪,起訴,告發,控告"
exemplify--0,"是,的典型,舉出,的例子"
exhilaration,"激動,興奮,高興"
exonerate--0,"免除責任,宣布無罪,記法,免除,負擔"
expedient--0,"方便的,權宜的,記法,外,腳,機車沒油,腳向外踩地推車權宜之計權宜的"
experiencing,經歷
extenuate--0,"掩飾,減輕,使人原諒,低估,古使稀薄"
extirpate--0,"使連根拔起滅絕,破除,同義"
extravagance,"奢侈,揮霍,過多或輕率花費,放縱的言行參,奢侈浪費的,過分放縱的,流浪的,流浪漢,流浪,離題"
exuberant--0,"熱情的,豐富的,繁茂的,向外,大受歡迎,豐富的,繁茂的"
fabricate--0,"以欺騙為目的進行捏造,制造,裝配把不同的,標准化的零件組裝成整體"
facetious--0,"輕浮的,好開玩笑的,記法,臉,多,的,臉很多扮開心扮難過逗人笑好開玩笑的"
fanatical--0,"狂熱的,不理智的熱情的,類,狂亂的動作狂熱的信仰"
far-reaching,"影響深遠的,波及廣泛的,這些新法律影響深遠,將惠及所有在職母親"
favorability,NotFoundAnyMeanings
fearlessness,"勇敢,不懼"
fermentation,"發酵,將複雜的有機物分解為簡單的,或是由酵母引起的從糖到二氧化碳和氫氧化物的轉化,不安,類,細菌有解體作用酵母有發酵作用,發酵"
festering--0,"激烈的,使人痛苦的"
flawlessness,完美無瑕
fledgling--0,"剛長齊飛行用羽毛的正學飛的幼鳥,年輕無經驗的人,反,有經驗的從業者,成熟,長羽毛,長翅,脫毛"
fluctuate--0,"变动,波动,涨落,上下,动摇,使动摇,使波动,使起伏"
fluctuations,"波動,起伏,漲落"
forcefulness,NotFoundAnyMeanings
forestall--0,"先發制人,預先阻止,記法前站事先站在對方的路上製造進攻犯規先發制人"
formation--0,"名詞,形成,構成物,形態,結構"
formulaic--0,"由套話堆砌的,公式化的,那篇文章乏味且套話連篇"
fractious--0,"易怒的,倔強的,脾氣不好的,難以對待的"
friendliness,"友誼,親切,親密"
frivolous--0,"輕率的,不認真嚴肅的,無關緊要的,類,輕佻的不嚴肅倉促的不謹,反,有節製的,冷靜的,莊嚴,輕薄"
full-fledged,"经过充分训练的,发展成熟的,正,式的,完全合格的"
fulminate--0,"大聲的,猛烈抨擊,嚴厲譴責,爆炸參,爆發性的,類嚴詞譴責是過分批評諂媚是過分奉承"
galvanize--0,"對某事物像通過電流般的,劇烈影響"
garrulous--0,"饒舌的,多嘴的,啁啾不休的"
gasification,"氣化,參,似氣體的,不可靠的,不具體的,反,凝固,氣化"
gawkiness--0,"魯鈍,笨拙,癡呆"
genealogy--0,"記基因,學科一研究基因起源的科學家系學,家譜,一個人或家庭的后代的記錄或詳圖,家系學,關于祖先和家庭歷史的研究,系譜,家系,宗譜"
geometrician,"記土地,參,地質學,測量,原指丈量土地,現在引申為幾何學者,幾何學者,几何學者"
germinate--0,"發芽,萌芽,開始發育,使發芽,使發達"
gerontocracy,"記表示,老人,之義,統治,頭,頭上有細菌的人的統治老人統治,老人統治,老人政府,參,老年的,老人病學,類,富豪統治是依靠財富老人統治依靠老人,老人統治,老人政治,老人政府"
good-natured,"親切的,不易發脾氣的"
grandiose--0,"宏偉的,誇大的,類,浮誇的,壯麗的"
graveness--0,"重大,嚴重,認真"
gravitate--0,"被強烈地吸引,傾向,受引力作用而運動"
guaranteeing,"保證,商品保證,保證書"
hackneyed--0,"陳腐的,由于過多使用而變得過于熟悉,類,模棱兩可的話是誤導的陳詞濫調是陳腐的"
hamstring--0,"割斷人或動物的腿腱,使,變為殘廢,使不起作用,使無效類使無效消除效力削弱消除生命力"
handwringing,NotFoundAnyMeanings
haphazard--0,"無計畫的,任意的,偶然的,記法,運氣,冒險,無計畫是種冒險"
happenstance,"偶然事件,偶然的"
harbinger--0,"先行官,先驅,預兆,預告,預示,作為,的先驅"
hazardous--0,"冒险的,有危险的,碰运气的,冒险地,有危险地,冒险,危险"
heartrending,"令人心碎的,傷心的,類,震耳欲聾的是十分響亮的令人心碎的是十分傷心的,令人心碎的,傷心的,悲慘的"
herbicide--0,"除草劑,記草,殺除草劑,除草劑,用來摧毀或抑製雜草生長的化學物質,類,殺虫劑用來消滅昆虫除草劑用來消滅植物"
heretical--0,"異端邪說的,異教的類,異教的違反教條錯誤的違反方針"
heterodox--0,"信仰,想法或活動非正統的,異端的,他的觀點總是帶有明顯的異端色彩"
hidebound--0,"思想,偏狹頑固的,迂腐守舊的,家畜或樹,皮包骨的類頑固的不相信權威,反動的僵化的,保守的不接受變化"
hierarchical,"分等級的,等級制的"
hieroglyphic,象形文字的
high-ranking,等級高的
hilarious--0,"非常滑稽的,引人發笑的,他根本就不喜歡這部電影但我覺得它好笑極了"
hortative--0,"勸告的,鼓勵的,忠告的,獎勵的"
hortatory--0,"勸告的,激勵的類,教誨的為了教書激勵的為了敦促,提升間,升起"
horticulture,"記花園,文化,培植,園藝學,園藝學,有關種植水果,蔬菜,鮮花或裝飾性植物的學問或技巧,類,林學研究樹木園藝學研究花,園藝"
hostility--0,"名詞,敵意,敵視,戰爭行動"
hyperbole--0,"誇大的言論,誇示法"
hyperbolized,誇大的
hypertension,"高血壓,過度緊張,記,超過,拉緊,緊張"
hypocrite--0,"偽善者,偽君子,記法,在下面,判斷,在背後批評別人偽君子"
hypocritical,"記下面,評論的,批評的,在背后批評的偽善的,虛偽的,偽善的,參,偽君子,皮下的,皮下注射,表皮,上皮,類,真實不是欺騙的真誠不是虛偽的,反,偽善的,偽善者的"
hypothetical,"假設的,假定的,有待證實的"
ill-mannered,態度惡劣的
illegitimate,"不法的,非嫡出的,庶生的,不合理的,不符合習慣的非嫡出子"
illiberal--0,"吝嗇的,小氣的,不大方的,缺乏文化素養的,粗鄙的"
illiberality,"狹隘,偏執,吝嗇,嚴格,不自由"
imitative--0,"抄襲,所有這些雜誌都是互相抄襲"
immeasurably,"不可測量地,無限地,廣大無邊地"
immutable--0,"永恆的,不可改變的,永遠不變的,參,變化,轉變,交換,抵償,減刑,類不變的不能被改變不緩和的不能被勸解短暫的不持久不變的不變化反"
impartial--0,"不偏不倚的,公正的,無偏見的"
impartiality,"公平,無私,不偏"
impassive--0,"無動于衷的,冷漠的,缺乏感情的,區,熱情洋溢的,類無畏的不會受恐嚇冷靜的不會受干擾冷漠的不易被打擾貪婪的不易被滿足"
impending--0,"即將發生的,迫在眉睫的"
imperfection,"記,完美的,不完美,缺陷或瑕疵,類,淨化消除缺點証實消除懷疑,無缺點的沒有缺點無瑕疵的沒有瑕疵,不完整性,非理想性"
imperious--0,"愛發號施令的,傲慢的,專橫呃,迫切的"
imperishable,"不能被摧毀的,不朽的,永恆的"
impertinence,"記,有關性,相關性,不恰當,傲慢無禮,反,敬重,尊敬,中肯,適當,不適宜,魯莽,無禮"
impetuous--0,"沖動的,猛烈的,激烈的,加強語氣追求,魯莽的"
implications,"暗示,影響,牽連關係"
imponderable,"記,沉思,考慮,重量等,無法衡量的,事物,作用,無法精確估量的,參,沉重的,笨重的,不可估計的"
imposture--0,"欺詐,欺騙,冒牌"
impoverished,"形貧窮的,赤貧的"
imprecise--0,"記,精確的,精確,不精確的,不確切的,反,精確的,精細的,敏感的,不嚴密的,不精確的"
impromptu--0,"即席演出,即興曲,即席的,即席地,未經准備地"
improviation,即興
inadvertence,"記,注意,留意,源于,注意,廣告,漫不經心,疏忽大意,反,小心留意,不注意,怠慢,漫不經心"
inarticulate,"說話不清楚的,因激動,說不出話的,難以言喻的,不善言辭的,動物,無關節的"
inaugural--0,"就任的,就職的,開始的就職演講"
incandescent,"記,進入,白熱,開始,的,開始發熱的,發白熱光的,發白熱光的,由于遇熱而發出可見光的,白熱化的,參,無偏見的,坦白率直的,白熱,反,呆滯的,陰暗的,遇熱發光的,白熾的"
incentive--0,"刺激,鼓勵,記法,使,唱,使人唱"
incipient--0,"初期的,開始的,類,不成熟的還沒有完全發展未成形的還沒有完全實現,未成形的不是完全實現的切實的不是不確定的垂死的死的"
inclinations,NotFoundAnyMeanings
incoherently,無條理地
incompatible,"性質相反的,矛盾的,不調和的"
incorrigible,"積習難改的,難以控製的類難以糾正的無法被糾正難以理解的無法被理解無可救藥的無法改正不能根除的無法移動反,易駕"
increment--0,"記,增加,數目,大小,數量或范圍,增值,增加,參,自然增長,內分泌,激素,增加,增量"
incumbent--0,"憑依的,依靠的,負有義務的領聖職的俸祿的牧師,在職者"
incursion--0,"記,進入,跑,跑進外國領土,入侵,侵犯,入侵,外國領土,反,撤退,退卻,襲擊,侵入"
indecisively,猶豫不決地
indefinitely,"不確定地,不清楚地,無限期地"
indemnify--0,"投保,賠償,保護,保障"
independence,"獨立,自主,足夠維持生活的收入,為做索引,做索引"
indifference,"名詞,漠不關心,無關緊要"
indignant--0,"形容詞,憤怒的,憤慨的"
indistinctly,"不明了地,朦朧地"
indoctrinate,"教導,灌輸思想,記,進入,教條,教學,把自己的意見灌輸給學生教導,灌輸"
induction--0,"入門,入會,入伍,歸納法"
indulgent--0,"放縱的,采取俊,容放縱行為的,反,嚴格執行紀律的人,放縱者,苦行的,嚴峻的,節儉的"
inelasticity,"無彈性,無伸縮性,反,彈回,有彈力,無伸縮性"
inertness--0,NotFoundAnyMeanings
inexplicable,"無法說明的,難以理解的,莫名其妙的"
ingenious--0,"機靈的,有獨創性的,精製的,具有創造才能"
ingenuity--0,"心靈手巧,獨創性,足智多謀"
ingenuous--0,"純真無邪的,缺乏老練的,率直坦白的類懶散的沒有雄心無瑕疵的沒有瑕疵單純的沒有詭計天真的不掩飾粗俗的不打扮禮貌的不冷落"
ingestion--0,"攝取,吸收,食物,容納"
inharmonious,"不合諧的,不和睦的"
inhibited--0,"拘謹的,羞怯的,綁手綁腳的"
innocence--0,"無罪,無知,天真無邪"
innocuous--0,"行為,言論或藥品等,無害的,無毒的,參,不愉快的,引起反感的,類,安慰劑是無毒的油膏劑是油質的毒液是有毒的,反,有害的,尖刻的,有"
inoculate--0,"接種,嫁接,接插芽,接木,接種"
inordinately,"過度地,格外地"
insidious--0,"隱藏詭計的,暗中為害的"
instigate--0,"慫恿,唆使,煽動反,鎮壓"
institutions,機構
instrumental,"形容詞,有幫助的,使用,器械的"
insufficient,"不夠的,不能勝任的,不充足的"
