an,"冠詞,一個,一種"
mark,"標記,斑點,痕跡,商標,目標,分數,指標,標準,刻度,注意,顯著,影響,記號"
mash,"動詞,把,搗成糊狀,壓碎,名詞,糊狀物,混合飼料"
mask,"面具,掩飾,石膏面像,戴面具,掩飾,使模糊,化裝,戴面具,掩飾,參加化裝舞會"
mass,"塊,大多數,質量,大量,群眾,彌撒,群眾的,大規模的,集中的,使集合"
mast,"桅,桅杆,杆,裝桅杆於"
mate,"配偶,對手,助手,將死,使配對,使一致,結伴,象棋,將死,成配偶"
math,"名詞,數學"
maul,"大槌,打傷,粗手粗腳地擺弄,抨擊"
maze,"曲徑,迷宮,迷津,迷惘,迷惑,糊涂,使迷惘,使混亂,迷失"
meal,"一餐,膳食,粗粉,進餐"
mean,"低劣的,卑鄙的,普通的,吝嗇的,簡陋的,平均的,慚愧的,不舒服的,意謂,想要,預定,用意,有意義,平均數,中間,中庸"
meek,"溫順的,耐心謙虛順從的,反,傲慢的,堅硬不屈的,好戰凶猛的"
meet,"會,集會,適宜的,合適的,遇見,引見,認識,滿足,對付,相遇,接觸"
mend,"改進,改良,補丁,修理部分,好轉,修改,改進,加快,修理,修補,好轉,改善,改正"
ment,"心智,心理的,精神的,心態,精神失常的"
mesa,NotFoundAnyMeanings
mesh,"網孔,網絲,網眼,圈套,陷阱,機嚙合,以網捕捉,嚙合,編織,落網,相嚙合"
mete,"給予,派給,評定,測量界線,境界,界石"
miff,"發脾氣,微怒,無謂的爭吵,使惱怒,惱羞成怒"
mild,"溫和的,溫柔的,淡味的,適度的,輕微的,低碳的"
milk,"奶,乳狀物,擠乳,榨取,產乳"
mill,"壓榨機,磨坊,製造廠,碾磨,磨細,攪拌,使亂轉,打,亂轉,被碾磨"
mime,"啞劇,笑劇,滑稽戲,摸擬表演,的縮寫是一種可包含語音,影像,圖形及不同國別語言碼的信件數據格式"
mind,"頭腦,精神,記憶,注意力,意向,想法,注意,留心,介意,反對,注意"
mint,"薄荷,造幣廠,巨額,鑄造,鑄幣,偽造"
mix-,"混合物,混亂,糊塗,使混合,弄混,使結合,混淆,相混合,交往,參與"
moan,"動詞,呻吟,嗚咽,悲歎,名詞,呻吟聲,嗚咽聲,悲歎"
moat,"護城河,壕溝,將,圍以壕溝"
mock,"嘲笑,戲弄,模仿,假的,偽造的,模擬的,虛偽地,嘲弄,模仿,輕視"
mode,"方式命令完成有關在處理器和螢幕模態,模式,樣式,風氣,時尚"
mold,"動詞,鑄造,塑造,發霉,名詞,模子,鑄型,模製品,霉"
molt,"換羽,脫毛,蛻皮,類,鳥脫羽蛇脫皮,脫羽是脫去羽毛假發是脫去頭發,反,長羽毛"
mood,"名詞,心情,心境,情緒"
moon,"月亮,月球,月光,閑蕩,虛度"
more,"更多,多的,程度較大的,更大的,多,更多"
most,"最多的,多數的,大部分的,最,最多,很,十分大多數,大部分"
mote,"塵埃,微粒"
move,"移動,遷居,步驟,移動,開動,感動,鼓動,移動,離開,運行,遷移,行動"
muse,"沉思冥想,全力思考,包,蒙住,壓抑,聲音,圍巾,頭巾,消聲器"
must,"必須,未發酵葡萄汁,絕對必要的事物,必須"
name,"名稱,姓名,名義,名譽,名詞,命名,稱呼,任命,提名,列舉,姓名的,名字"
near,"近的,近親的,近似的,接近,親近,節儉靠近,近乎,接近,走近"
neat,"整潔的,巧妙的,端正的,平滑的牛"
nest,"巢,窩,休息所,隱匿處,築巢,找鳥巢,為,設窩,使套入"
next,"下一個,下一個的,其次的,最近的,然後,下次,最近"
nice,"美好的,和藹的,正派的,體貼的,精密的,細微的,挑剔的,拘泥的"
nick,"動詞,刻痕於,弄缺,恰好趕上,名詞,槽口,刻痕,關鍵時刻"
norm,"基準,模範,標準,智力水準,平均數"
noun,"名詞,名詞"
nova,"新星,複數形是"
null,"空,零迅號,零,無效力的,無效的,無價值的"
numb,"麻木的,無動于衷的,使麻木類使麻木使沒有知覺的磨光使有光澤的麻木沒有感覺僵硬沒有柔軟放任不是禁製有意識的不是麻木反,有感覺的,半位元組,細咬,輕咬,啃,一點一點地咬,細咬,吹毛求疵"
nuns,NotFoundAnyMeanings
oath,"誓言,在法庭上的,宣誓"
odds,"機會,可能性,投注賠率,不和"
omen,"預兆,前兆,徵兆,預示,有,的前兆,顯出,的預兆"
omit,"省略,刪除,疏忽,遺漏"
once,NotFoundAnyMeanings
ones,其中之一個
only,"副詞,只,僅僅,才,不料,反而,連接詞,可是,不過,要不是,若非"
ooze,"慢慢地流,滲出,勇氣逐漸消失"
open,"打開,開,開始,開業,開,開著的,開放的,開闊的,公開的,自由出入的"
oust,"使,政治人物,下台"
over,"在,上方,在,上面,越過,多於,以上,在,期間,遍及"
owed,"虧欠,負債,感恩,虧欠,負債,感恩"
oxen,"名詞,公牛,複數"
pack,"包裹,一群,一副,背包,包裝,包裝,捆紮,塞滿,壓緊,挑選,包裝貨物,擠"
pact,"名詞,契約,協定"
pain,"痛,疼痛,痛苦,悲痛,辛苦,刻苦,使痛,作痛"
pale,"柵欄,界線,範圍,蒼白的,暗淡的,無力的,變蒼白,變暗"
pall,"記,怕,所有所有人都害怕的東西,裹尸布,整天穿著,使人厭倦,裹尸布,使人發膩,使平淡無味,覆蓋,反,使發生興趣,激起,的興趣,棺罩,幕,遮蓋物,走味,覆蓋,使平淡無味,使生厭,感到膩煩"
paly,NotFoundAnyMeanings
pang,"可用,來記,除了肉體上的痛苦外,多指心理上,情感上的痛苦"
pare,"削去,的皮,儘量削減,減少"
part,"部分,局部,零件,要素,等分,職責,角色,部位,分開,分離,斷絕,區別"
pass,"通過,傳遞,傳球,消逝,忽視,批准,及格,合格通行証,護照,入場券,機票"
past,"過去的,過去的過去,昔日,往事過,超過,越過,過"
path,"路徑,小道,小徑,道路,途徑,路線,軌道,指討論信從甲計算機傳到乙計算機時,所有參與傳遞的計算機連成的路徑"
pays,NotFoundAnyMeanings
peak,"形容詞,最高的,高峰的,動詞,使尖起,達到高峰,聳起,名詞,山頂,頂端"
peck,"啄痕,啄食,許多,以喙啄,啄食,扔,啄,吹毛求疵,啄食,扔石頭"
peel,"動詞,削去,剝,去,皮,殼等,名詞,水果,蔬菜等的,皮,對蝦等的,殼"
peep,"瞥見,偷看,初現,窺視,出現,吱吱叫,微微伸出"
peer,"貴族,同輩,同事,上院議員,與,相比,與,匹敵,與,同等,凝視,盯著看"
pelf,"記,破,有一半的錢是破的,不義之財,以欺詐行為而得到的,金錢和財富,不義之財,類,錢財貧窮的經驗無經驗的,缺乏,錢財"
pest,"瘟疫,鼠疫,害蟲,害人蟲,煩擾,糾纏"
pick,"精選,選擇,掘,鶴嘴鋤,摘,掘,鑿,挖,挑選,挑剔,摘,掘,鑿,挖"
pied,"記,餡餅,斑駁的,雜色的,反,單色的,斑駁的,雜色的"
pile,"堆,大堆,電池,大量,橋樁,軟毛,痔瘡,堆起,堆積,積累,擠,堆於,累積"
pine,"松樹,用于裝飾,乘涼,木材和產生樹脂,因懷念,痛苦而,消瘦,思家鄉的,懷念,渴望,類,橡樹的樹葉松樹的針葉蕨類植物的蕨類葉,渴望對渴望懊悔對懊悔,反,變得有活力"
pith,"記,讀劈死,我劈死一棵大樹,取出它的木髓,引申為精華,木髓,精髓,要點,反,表面因素,不重要的部分,植物的,木髓,骨髓,重要部分,核心,意義,精華,精力,除去木髓,殺死"
pity,"遺憾,同情,憐憫,憾事,可惜,同情,憐憫,可憐"
plan,"計劃,策略,方法,程式表,平面圖,設計圖,計劃,設計,意欲,訂計劃"
play,"玩,遊戲,表演,進行體育比賽,演奏,扮演,打遊戲,比賽,劇本,戲劇"
plot,"小塊土地,地區圖,圖,秘密計划,特指陰謀,小說的,情節,結構,划分,繪圖,密謀,密謀,策划"
plow,"犁,耕,開,路,破,浪,前進"
plum,"形容詞,相當收穫的,名詞,洋李,梅子"
poem,"詩,美麗的東西"
poke,"刺,戳,懶漢,袋子,戳,捅,撥開,刺,戳,刺,捅,刺探,伸出,閑蕩"
poll,"民意調查,民意測驗,得票數,人頭,人頭稅,選舉名冊,投票,作民意調查"
poor,"貧窮的,貧乏的,不幸的,可憐的,拙劣的,卑鄙的,乏味的,無聊的"
pore,"毛孔,小孔,氣孔,熟讀,熟視,細想,鑽研,沈思"
port,"港,港市,口岸,機場,航空站,避風港,避難場所,船,飛機的,左舷,船的,舷窗,船的,艙口,戰車,戰艦,工事等的,槍眼,砲眼,機汽門,風門,通道,電腦接口,紅,葡萄酒,原產葡萄牙的帶甜味的深紅葡萄酒,姿勢,斜持槍姿勢,事情的,意義,涵義,轉,舵,向左,持,握,雙手斜持,步槍等,轉舵向左,左舷的,向左舷,向左"
pose,"姿勢,姿態,裝模作樣,偽裝,擺姿勢,裝模作樣,假裝,使擺好姿勢,提出"
pour,"流出,傾瀉,驟雨,倒,灌,注,傾瀉,訴說,傾吐,傾瀉,蜂湧而來,下大雨"
pout,"撅嘴,板臉,生氣,大頭魚類,撅嘴,繃臉"
pray,"請求,懇求,祈禱,祈求,請求,懇求,禱告,祈禱"
prey,"動詞,捕食,掠奪,名詞,被捕食的動物,犧牲者"
prim,"規規矩矩的,呆板的,拘謹的,弄整齊,把嘴閉緊,一本正經"
prod,"刺针,刺棒,刺激,激励,刺激,促使,行动,用手指或尖物戳,捅"
prop,"動詞,支撐,維持,架,擱,名詞,支柱,支撐物,後盾,道具"
puff,"噴出,蒸氣,煙,抽,煙,雪茄,喘氣,噴氣聲,一次噴出,蒸氣,煙,的量,泡芙"
pull,"拉,拖,拔,牽,劃,撕開,拉傷,吸引,拉,拖,拔,有吸引力拉,拖,拔,拉力"
pulp,"黏漿狀物質,果肉,果泥,菜泥,紙漿,動植物體內的肉質,或髓質,部分,牙髓,主美低級黃色書"
puny,"記源于,小馬,撲,你我敢撲上去打你,是因為你體格弱小的,體格弱小的,微不足道的,類,卑鄙的就是下賤的弱小的就是虛弱的,參,巨大的,小的,弱的,微不足道的"
pupa,蛹
pure,"純的,純粹的,純淨的,無垢的,純潔的,清白的,完美的,無瑕的,完全的,抽象的"
pyre,NotFoundAnyMeanings
quay,"記,去,外,國,想去外國需要上碼頭,碼頭,可往船上裝貨或卸貨,碼頭"
ract,NotFoundAnyMeanings
racy,"記源于,比賽,賽跑,賽馬,活潑生動的,活潑生動的,反,馴服的,沒精打彩的,保持原味的,活潑的,適于賽跑的,美猥褻的"
rage,"憤怒,情緒激動,狂暴,精神錯亂,大怒,狂吹,風行"
raid,"襲擊,突襲,搜捕,奇襲,搜捕"
rail,"橫杆,圍欄,欄杆,鐵軌,扶手,秧雞,以橫木圍欄,鋪鐵軌,責罵,抱怨"
rain,"雨,雨水,下雨,雨天,下雨,使大量落下,大量地給"
rank,"等級,排,橫列,隊伍,階級,繁茂的,惡臭的,討厭的,下流的,排列,歸類於"
rant,"用粗野的,極大的聲音,咆哮類畏縮是害怕的表現咆哮是憤怒的表現"
rapt,"專心致志的,被深深打動或激起興奮的,參,全神貫注,興高采烈,類無畏的不怕威懾全神貫注的不怕分心反,心煩意亂的"
rare,"稀罕的,罕有的,珍貴的,稀薄的,半熟的,非常的,非常"
rash,"皮疹,疹子,魯莽的,急躁的,輕率的"
rate,"比率,率,速度,價格,費用,等級,估價,認為,鑒定等級,責罵,被評價"
rave,"形容詞,讚揚的,動詞,咆哮,狂熱讚揚,名詞,狂罵,吹捧,喧鬧的宴會"
raze,"毀滅,刮去,把,夷為平地,消除,抹去,破壞"
read,"看,讀,閱讀,看懂,理解,指明,標明,辨認,觀察"
real,"真的,真實的,實際的,實在的,不動,產,的,實數的實數,現實,真正地"
ream,"記,由很多人組成,由很多紙組成,令,紙張的一種計數單位,類,紙的單位是令木的單位是考得土地的單位是英畝,令,大量的紙,擴展,鉸大,榨取,鉸除,刮,欺騙"
reap,"收割,收獲,獲得,收割,得到報應"
reat,NotFoundAnyMeanings
redo,"重做,改裝,重做,再做"
reed,"蘆葦,蘆笛,簧,不可依靠的人,用蘆葦蓋,裝簧片於"
reek,"煙,水蒸汽,霧,臭氣,冒煙,發臭氣,散發,用煙熏,散發"
reel,"卷軸,一卷,紡車,旋轉,蹣跚,卷,於軸上,卷,繞,使旋轉,唧唧叫"
rein,"繩,統治,支配,駕馭,以繩控制,統治,控制,勒住馬,止住"
rend,"記,撕裂一個人,他就,了,后需要,撕裂,用力撕扯成小片,類,撕裂是過分撕匆忙的做是過分倉卒,反,聯合,團結,修理,撕碎"
rent,"租金,房租,出租物,裂縫,破裂處,分裂,租用,租出"
rest,"休息,睡眠,安息,稍息,安靜,靜止,支架,休息處,其餘者,剩餘部分,休息"
rich,"富的,有錢的,富饒的,肥沃的,豐富的,充足的,貴重的,珍貴的"
ride,"騎馬,乘坐,乘車,搭便車,欺騙,騎,乘坐,克服,控制,纏住,騎馬,乘車"
rife,"尤指不良事物或現象,流行的,普遍的"
rift,"裂口,隙縫,切口,裂開,分開,割開,穿透"
rile,"記,日,樂軍訓的時候太陽還樂,激怒,你,使,惱火,激怒,攪動,液體,類,激怒不穩定的,反,平息,使滿足,安慰,安撫,使平靜,激怒,使惱怒"
rind,"記吃西瓜之前要,漂洗,外皮,如樹皮,水果皮或奶酪,熏物上的外殼,類,蘋果皮西瓜皮,外殼"
rine,NotFoundAnyMeanings
riot,"動詞,參加,或發動,暴亂,放縱,名詞,暴亂,騷亂,狂歡"
ripe,"水果或作物成熟的,可採取某項行動的時機成熟的"
rise,"上升,增加,上漲,高地,小山,升高,出現,發生,升起,起身,起立,上升,上漲"
risk,"冒險,危險,保險額,冒,的危險,冒險幹"
rite,"儀式,典禮,習俗,慣例,禮拜式,教派"
rive,"撕開,分裂"
road,"路,道路,公路,途徑,方法"
roam,"漫遊,閑逛,徜徉漫步,漫遊"
robe,"寬松長袍,禮服,披肩,覆蓋物,給,穿長袍"
rock,"岩石,岩礁,巨石,石頭,基石,暗礁,搖動,搖擺舞,搖擺,搖動,使搖晃"
role,"角色,職責,作用"
roll,"卷,滾動,名單,案卷,壓路機,翻滾,滾,滾動,飄流,起伏,卷,繞,使滾動"
rosy,"光明的,有希望的,美好的,我們的經濟狀況良好"
rude,"粗魯無禮的,粗陋的,粗暴的,原始的,未開化的,大略的,粗略的,崎嶇不平的"
ruin,"毀滅,推翻,廢墟,毀滅,衰敗,破壞,破產,墮落,使毀滅,毀壞,使破產"
rule,"規則,慣例,統治,控制,支配,規律,准則,標準,章程,破折號,規定,統治"
rung,"梯子的橫擋,等級"
rush,"匆促,沖進,急流,燈心草,沖,奔,闖,趕緊,匆促行事,湧現,使沖"
safe,"保險箱,冷藏室,安全的,可靠的,平安的,無害的,穩健的,有把握的"
said,"的過去式和過去分詞,上述的"
same,"相同的,同樣的,相同的人或事物,同樣地"
sand,"沙,沙子,沙灘,瞬間,生涯,撒沙,以沙掩蓋"
sane,"神智健全的,理智的,穩健的,沒病的,合理的"
sash,"記,死,灰死在炮灰裡面的軍人應該授予,纏于腰部用作裝飾的,或掛在肩上作為軍銜標志的,飾帶,框格,肩帶,腰帶,颯飾,窗扇,裝以窗框,系上腰帶"
sate,"使心滿意足,過分的給與"
save,"保存,節省,保全,保留,挽救,節省,解救,救,挽救,儲蓄救球"
scad,"常用複數極大量,巨額,區,傷疤,長在手,上,傷痕,上有,土,反,極小量,魚竹莢魚,美口許多"
seam,"縫合線,銜介面,接縫,線縫,傷疤,縫合,接合,焊合,使留下傷痕,裂開"
sear,"記,死,耳朵把耳朵都燒死了,以烈火,燒灼,使干枯並凋謝,類,滴流對噴涌溫暖對灼燒,烤焦的,枯萎的,烤焦,使枯萎,凋謝,干枯"
seas,海域
seek,"尋求,尋找,探索,追求,搜索,請求,尋找,搜索"
seem,"好像,似乎,看來好像"
seen,的過去分詞
seep,"滲出,滲流,漏小泉,水陸兩用的吉普車"
self,"名詞,自身,自己,自我"
sell,"賣,背叛,銷售,出賣,使賣出,賣,銷售賣,推銷術,失望"
send,"送給,傳,寄,派遣,發射,使陷於,寄信,派人,播送"
shed,"車棚,小屋,脫落之物,分水嶺,使流出,放射,脫落,散發,擺脫,流出"
ship,"船,艦,以船運送,裝船,運送,上船,乘船"
show,"顯示,表現,展覽,賣弄,炫耀,外觀,景象,演出,表演,表示,顯示,展現,陳列"
shun,"避開,規避,避免,音讀閃"
shut,"關,關上,關閉,關門,住口,閉嘴"
sick,"病人,不舒服,有病的,惡心的,厭惡的,渴望的,病態的,嘔吐,使狗去攻擊"
side,"邊,側邊,面,側面,身體側邊,肋,方面,派別,一方,隊,站在,一方,支援"
sift,"篩,過濾,撒,詳查,篩,被篩下,精選"
sign,"符號,招牌,徵兆,正負號,手勢,簽名,打手勢表達,簽名"
sill,"記從,上摔下來的人很,而且不是死,就是,門檻,窗台,基石,門檻,窗台,地質岩床"
silt,"淤泥,大小介于沙和泥之間的非常細小的微粒構成的沉澱性物質,類,斑沉積阻礙動脈血流動淤泥沉積阻礙河道水流動,淤泥,殘渣,煤粉,泥沙,使,淤塞,充塞"
sink,"沈入,滲入,沈陷,消沈,降格,降級,墮落洗滌槽,污水溝,藏垢納汙之地,物匯,大量吸收某種物質的器件或系統"
sins,"罪,複數"
size,"大小,尺寸,規模,尺碼,容量,漿糊,上漿,依大小排列,可比擬"
skew,"記和,串肉扦,一起記住,一個是直的,一個是彎的,不直的,歪斜的,不對稱的,歪斜的"
skim,"撇取浮沫,略讀,掠過,擦過,瀏覽脫脂乳,擦過,撇取浮沫了的"
skin,"皮膚,皮,剝皮,使癒合,長皮,癒合,蛻皮"
skip,"跳過,遺漏,跳過跳躍,跳讀,跳越,蹦,跳,跳繩,遺漏,跳級"
skit,"模仿取笑某人或某事的,幽默諷刺短劇,諷刺文章"
slab,"厚平板,厚片,混凝土路面,板層,把,分成厚片,用石板鋪"
slag,"熔渣,鐵屑,礦渣,使變成熔渣,變熔渣"
slim,"瘦的,苗條的,微小的,稀少的,無價值的,變苗條,使苗條"
slot,"動詞,開狹長的孔,把,納入序列中,名詞,狹長孔,投幣口,位置,吃角子老虎"
slow,"形容詞,緩慢的,動詞,使慢,放慢,副詞,慢慢地,遲遲地,慢了地"
slur,"連音符,誹謗,恥辱,印刷模糊,草率地看過,忽略,含糊地念,模糊不清"
smug,"自命不凡的,沾沾自喜的,自鳴得意的,對自己十分滿意或令人反感的滿意的,類打扮表示虛榮自負的幸災樂禍表示沾沾自喜的自鳴得意的笑表示沾沾自喜譏笑表示嘲諷"
snip,"剪,剪斷剪,剪刀的一剪,少許"
snow,"雪,積雪,下雪,雪花形幹擾,下雪,似雪般落下,使雪白,用雪覆蓋"
snug,"舒適的,溫暖的,整潔的,合身的,隱藏的,使整潔幹淨,使合身,隱藏"
soak,"浸,濕透,大雨,使上下濕透,浸,吸入,吸收,浸出,浸泡,滲透"
soar,"高揚,飛翔,往上飛舞,高聳,飛翔"
sock,"短襪,鞋內襯底,輕軟鞋,一擊,零食,給,穿襪,重擊,猛投,請,吃零食,愛吃零食,非常成功的,正著地,不偏不倚地"
soil,"土壤,土地,國家,國土,溫床,務農,汙物,糞便,弄臟,污辱,變臟"
some,"一些,有些,某一個,一些,幾個,大約,約摸"
song,"歌,曲,鳴聲,歌唱,歌曲,詩歌"
soon,"早,很快,不久,馬上,寧願,樂意,不如"
soot,"緩和,使安靜,安慰,奉承,起安慰作用"
sort,"排序,挑選,分揀種類,類別,性質,程度"
sour,"酸的,酸臭的,發酵的,慍怒的,討厭的,拙劣的,不毛的,變酸,變乖戾,厭煩"
span,"指距,全長,跨距,徑距,廣度,以手指測量,跨越,架設,彌補,數生成,張成"
spat,"記原指雨點的劈啪聲,是個象聲詞,引申為小口角的聲音,小口角,小爭論,類,陰謀小集團是小協會小爭吵是小吵架,動,蚝卵,口角,掌擊,一巴掌打去,爭吵"
spin,"旋轉,自旋,疾馳,眩暈,紡織,紡,使旋轉,編造,紡紗,吐絲,作繭,結網"
spot,"汙點,地點,斑點,點,缺點,處境,少量,當場的,現場的,現貨買賣的,點綴"
spur,"馬刺,刺激物,鼓舞,刺激,激勵,用馬刺刺,用馬刺驅馬,疾馳"
stay,"停留,逗留,制止,延緩,停止,依靠,支柱,支撐物,支索,制止,平息,延緩"
stem,"莖,柄,船首,血統,堵塞物,摘掉莖,裝柄於,阻止,堵住,逆行,堵住,逆行"
stir,"騷動,轟動,攪動,監獄,動,移動,搖動,激起,惹起,攪和,走動,傳播"
stop,"停止,車站,逗留,填塞,障礙,滯留,風琴的音栓,停止,被塞住,塞住"
such,"形容詞,如此的,代名詞,這樣的人,或事物,上述的人,或事物"
sulk,"鬧情緒,快快不樂,不高興,悶悶不樂,不悅,生氣,慍怒"
sums,總和
sure,"肯定的,必定的,必然的,確信的,可靠的,有把握的"
sway,"搖擺,動搖,改變觀點或感情等傾向于變化,參,大搖大擺,吹牛,類不容置疑的不會被懷疑堅決的不會動搖"
take,"拿,拿起,拿走,攜帶,拿下,贏得,奪去,需要,花費,以,為例,寫下,記錄,參加"
talk,"談話,交談,會談,講話,演講,空談,謠言,方言,語言,講話,演講,說話,談話"
tall,"高的,長的,誇大的,誇大地"
tame,"指動物,馴服的,柔順的,指人,沒精打彩的,順從的,被開墾的,沉悶的,乏味的,平淡的,馴養,馴服,制服,使變得平淡,變得馴服"
tamp,"記源于,輕打,搗實,通過一連串擊打或拍打將,拍嚴實,填塞,夯實,搗棒,打夯的工具"
tare,"記,太,熱太熱了就會長雜草,雜草,野草,植野碗豆,毒麥,皮重,稱皮重"
tart,"酸的,辛辣的,尖酸的,刻薄的,打扮,果餡餅,小烘餅,妓女"
task,"任務,作業,困難的工作,程式單元,派給,工作,使辛勞任務,工作"
taut,"緊的,繃緊的,指肌肉或神經,緊張的整潔的,秩序五然的"
tear,"淚滴,眼淚,撕,扯,裂縫,激怒,飛奔,流淚,撕破,趕快,飛奔"
tell,"說,講述,告訴,吩咐,命令,辨別,分辨,講述,確定地說出來,泄密"
temp,"熱度,季節,時間,溫度,脾氣,氣質,性情,情緒化的,神經質的,禁酒,節制,溫帶的,溫和的,有節制的,風暴,狂暴的,節拍,暫時的,同時代的,同時代的,人,當代的,人,即席的,未經準備的"
tend,"照管,照料,服侍,招待,注意,留心,走向,趨向,傾向,有助於"
text,"正文,本文,原文,主題文句,主要經文"
than,"介系詞,比,超過,連接詞,比較"
that,"形容詞,那,那個,連接詞,以致,代名詞,那人,那事"
thaw,"融雪,融化,溫暖氣候,使融解,使緩和,融化,解凍"
then,"當時,到那時,然後,接著,那麼,而且,另外,還有,再者,當時的那時"
thin,"薄的,細的,瘦的,稀疏的,稀薄的,淡的,弱的,空洞的,使變薄,使變細"
this,"這,今,本,剛過去的,即將來到的,某,一定的,這,這個,以下所述,這時"
thus,"副,詞,如此,以此方式,到如此程度"
tidy,"椅子的背罩,裝雜碎的容器,整齊的,整潔的,精簡的,弄整齊,收拾,整理,整理,收拾,口可觀的,相當大的"
tiff,"記,踢,夫人不小心踢了自己的夫人一腳,引起小爭吵,小爭吵,嘔氣,類,犯罪和小過失爭吵和小爭吵失敗和小缺點,一口淡酒,小爭吵,小口角,酒,小爭吵,生氣,飲"
tilt,"傾斜,輪錘,帆布篷,帳篷,使傾斜,使傾側,用帆布篷覆蓋,傾斜,翹起"
time,"記錄,的時間,使合拍子"
tint,"淡色,色澤,顏色深淡的程度,給,淡淡地著色"
tiny,"極小的,微小的"
tire,"口疲勞,勞累,輪胎,頭飾,使疲倦,使厭煩,梳理,疲勞,厭倦"
toil,"動詞,苦幹,艱難地行進,名詞,辛苦,勞累,苦工"
toll,NotFoundAnyMeanings
tomb,"墳墓,死亡,埋葬"
tome,"冊,卷,大部頭的書"
tone,"音調,音質,語調,語氣,色調,氣氛,狀況,品質,調和,增強,以特殊腔調說"
tool,"工具,機床,傀儡,用工具工作,使用工具"
torn,"破碎的,動詞的過去分詞"
toss,"投擲,拋,搖擺,震蕩,擲錢幣決定,投擲,搖蕩,使不安"
tout,"招徠顧客,死乞白賴地勸誘,招徠,刺探,情報兜售者,偵查者"
tree,"樹,木料,樹狀物,趕上樹命令顯示驅動器的子目錄結構"
trim,"整齊,裝飾,修剪,整齊的,整理,修剪,裝飾,見風使舵"
trio,"三個人,事,物的組合,三重唱,三重奏"
tube,"管,軟管,隧道,把,裝管,使通過管子"
tune,"歌曲,旋律,心情,聲調,和諧,一致,語調,程度,為,調音,調整,調諧"
turn,"轉動,旋轉,翻轉,翻身,翻轉,轉身,變質,變得轉動,轉身,輪到,順次"
tusk,"牙,暴牙,牙狀物,以牙刺戳,以牙掘,用牙碰傷"
twig,"動詞,理解,懂得,名詞,細枝,嫩枝"
type,"類型,樣式,典型,榜樣,標志,符號,模範,型,式,打字,作為代表"
typo,"印刷工人,打字排印錯誤"
tyro,"新手,諧音,太弱,士兵"
ugly,"醜陋的,邪惡的,險惡的,不祥的醜陋的東西"
undo,"解開,打開,取消,破壞,毀滅,擾亂,鬆開,撤銷"
unit,"個體,計量,單位,軍隊的,部隊單位,數學最小的整數"
upon,"同,在,上,憑,靠,根據,針對"
urge,"沖動,推動力,迫切的要求,驅策,力勸,力陳,推動,強烈要求"
used,"使用過的,二手的,習慣的,的過去式"
vain,"徒然的,無益的,虛榮的,空虛的,自負的,愚蠢的"
vary,"改變,使多樣化,變化,不同,違反"
vast,"巨大的,龐大的,大量的,巨額的"
veer,"轉向,從某道路,方向,風向或目的偏離出來,類轉變方向改變信仰反,保持恆定,清漆,凡立水,光澤面,掩飾,修飾"
veil,"面紗,面罩,藉口,幕,帳,遮蔽物,戴面紗,隱藏,遮蔽,掩飾,蒙上面紗"
vent,"氣體,液體等進出的,孔,口,鳥,魚,爬行動物或小哺乳動物的,肛門"
verb,"詞語的,言語的,口頭的,逐字的,動詞的,英口,口頭供述,口供,口角,爭吵,使招供"
very,"真正的,真實的,恰好的,十足的,絕對的,特別的,非常,完全"
veto,"否決,禁止,否決權,否決,禁止"
vice,"惡習,惡行,罪惡,墮落,缺點,缺陷,惡癖,老虎鉗,鉗住代替"
view,"視圖,考慮,意圖,梗概,看,考慮,視察,檢查,視野,風景,見解,視力,眺望"
vile,"卑鄙的,可恥的,惡劣的,可憎的,簡陋的,低廉的,壞透的,不足道的"
void,"空虛,空間,真空,空隙,空虛感,空的,無人的,空閑的,沒有的,無用的"
vote,"投票,選舉,選票,表決,選舉權,得票數,投票,選舉,投票選舉,投票決定"
waft,"記源于,筏,漂浮的感覺,飄浮,飄蕩,在空氣中或水上輕柔平滑地前進,類,飄落對突然落下蜿蜒而流對奔流而下,吹送,飄蕩,飄蕩,信號"
wage,"薪水,工資,報應,報償,代價,開展,進行,在進行中"
walk,"散步,步行,競走,活動場所,走路,步行,處世,走過,使走,走步"
wall,"背景牆牆,牆壁,垣,內壁,分界物,屏障,牆的,禁閉,圍住"
wane,"變小,虧缺,衰落,退潮,消逝,呈下弦,月虧,月虧期,衰退,衰退期"
want,"缺乏,貧困,需要,要,希望,必須,缺少,徵求,需要,缺少"
warm,"暖和的,暖的,溫暖的,熱烈的,興奮的,激烈的,多情的,色情的,使溫暖"
warp,"彎曲,歪曲,乖僻,偏差,偏見,乖戾,弄歪,翹曲,使不正常,歪曲"
wash,"洗,洗滌,沖洗,洗的衣服,洗滌劑,沖積物,窪地,洗,洗滌,洗清,沖出,流過"
wave,"波,波浪,波動,起伏,高潮,潮湧,揮手致意,突變,波動,飄動,揮手示意"
ways,"用以指出所說的事實尚有其他含義,在很多方面,不止於此"
weak,"虛弱的,弱的,差的,不夠標準的,淡薄的,稀的"
wean,"記,后容易,使,孩子,斷奶,使戒掉,根深蒂固的東西,使斷奶,使丟棄,使斷念,蘇格蘭幼兒,小兒"
wear,"穿著,戴,使用,耗損,服裝,耐久性,穿著,戴,呈現,磨損,磨成,耗損,使疲乏"
weed,"動詞,除掉,雜草,名詞,雜草,野草"
