irritated,"形,被激怒的,惱火的,刺激唄,的,形容詞被刺激而導致憤怒的"
bromide--0,"陳詞濫調,溴化物,可作鎮靜劑,或止痛藥,類模棱兩可的話是誤導的陳詞濫調是陳腐的反,新奇的"
bucolic--0,"鄉村的,牧羊的,田園生活的類富麗堂皇的對簡陋的城市對鄉村的簡陋小屋對宏偉的反,城市的,久經世故的"
buoyant--0,"看漲的,繁榮的,能浮起的"
burdensome,"記,擔子,負擔,充滿,的充滿負擔的繁重的,繁重的,難以承擔的,繁重的,煩累的,難以承擔的"
burgeon--0,"迅速成長,發展例,發展中的城市類發展和快速發展跳動和快速跳動反,下沉,衰弱,征服"
by-product,"副產品,旁邊,產品"
calamitous,"災難性地,悲慘地"
calculated,"計算出的,精心計畫的,適當的,適合的"
callous--0,"麻木的,無情的,堅硬的,硬結的,起老繭的,使硬結,使麻木"
calumniate,"蓄意,誹謗,中傷類証明用証據誹謗用謊言反,辯護,嘉許"
caprice--0,"反複無常,總是因為一時沖動改變主意,變化無常,突然的,未被預料的行動,變化,例,六月的冰雹是反複無常的源來自意大利語,奇想曲,隨想曲參,反複無常,類"
carcinogen,"記,癌,毒瘤,產生致癌物,致癌物,參,醫癌科,致癌物質"
carelessly,"粗心大意地,疏忽地"
cartoon--0,"卡通畫,漫畫,畫漫畫"
caustic--0,"腐蝕性的,說話刻薄的,惡意諷刺的,腐蝕劑,類,腐蝕劑的作用是腐蝕干燥劑的作用是干燥,辛辣的氣味尖刻的評論,尖刻言"
celebrated,"著名的,記,有了名聲才有人替你,慶祝"
censure--0,"強烈和嚴厲,責難,公開和正式,非難,如立法機構對自己成員的譴責,例,參議院是否會公開指責一名議員根評估,太嚴厲,責難"
centigrade,"形容詞,攝氏的,名詞,攝氏度"
chagrin--0,"失望,懊惱,由失敗,失望或煩惱的事件引發的,例,我為書的銷路不佳而懊惱類懊惱是情緒不好痛苦的表情是臉不好反,使興高采烈,高興,快活"
chancellor,"記,機會,靠機會的人高級官員,一有機會就往上爬,拼攙,扶,地下室這些總理大臣們都比較老,需要攙扶才能進入地下室,高級官員,歐洲國家的總理,美國大學的校長,首席法官,例,大法官,長官,大臣"
chandelier,"名,詞,懸掛式室內裝飾吊燈"
changeable,"易變的,善變的,常變的"
characters,"角色,人物"
charitable,"慈善的,仁慈的,慷慨施捨的"
chauvinism,"沙文主義,狂熱的盲目愛國主義,例,大男子主義,源源自尼古拉斯沙文,傳說中因其過分的愛國主義和對拿破侖的忠誠而聞名的法國士兵,盲目的愛國心,沙文主義"
chauvinist,"大國沙文主義,本國至上主義,本族至上主義,人群熱情地唱著沙文主義的愛國歌曲"
cheerfully,"開心地,快活地"
chimera--0,"虛構的怪物,由奇形怪狀的,不相干的部分組成的一種虛構的怪物,奇想源原指希臘神話中吐火女怪凱米拉,獅頭,羊身,蛇尾,參,異想天開的,幻想的,愛空想的,類情節劇缺乏微妙幻想缺乏真實"
chivalrous,"騎士精神的,具有勇武精神及榮譽感,尤指對女人體貼及彬彬有禮的,例,我欣賞騎士精神,根騎,參,騎士製度"
chromosome,"記顏色,體染色體參,肉體的,染色體,鏈,攜帶了傳遞遺傳信息的基因和功能團,生物染色體"
chronic--0,"形容詞,病,慢性的,人,久病的,長期的"
chronology,"年代學,確定日期和事件順序的科學,資料等,按年代次序的排列,類,年代錯誤是年代學中錯誤謬誤是邏輯學中錯誤,年代學,年表"
classified,"分類的,類別的,被指定為機密的"
cleverness,"聰明,靈巧,敏捷"
cloudburst,"記,雲,突然爆裂,雨突然下來,驟雨,突然的大暴雨,參,陰暗,朦朧,類,狂風是很大的風暴雨是很大的雨,傾盆大雨,豪雨"
clumsiness,"笨拙,粗陋,不好看"
coinciding,同時發生
collateral,"平行的,旁系的,有共同的祖先但出自不同家系,擔保物,作為抵押或擔保的財產,參,有兩面的,雙邊的,等邊的"
collecting,蒐集
collection,"收集,聚集,積累,收藏,募捐,文集,數集"
colloguial,口語的
colloquium,"記共同,說,場所到共同說的場所去學術討論會,學術討論會,為交換意見的非正式的一個廣泛研究領域內的學術專家討論會,討論會"
collude--0,"共謀的,記法,共同,玩"
collusions,共謀
coloration,"色調,著色法,染色法,反,雜色,單色,染色,著色"
comedienne,"記,喜劇,表示女人,說笑話,演滑稽劇的,喜劇女演員,參,喜劇演員,喜劇女演員"
commanding,"指揮的,發號施令的,居高臨下的"
commentary,"實況報道,對書等的,集註"
commercial,"商業的,商用的,商品化的廣告節目"
commission,"委任狀,任官令,命令,傭金,犯法,委託,代辦,委任,委託製作,使服役"
commitment,"承諾,尤指涉及資金責任的合同保証,致力,獻身,責任,承擔的義務,例,我害怕承擔任何責任,對家庭由衷的奉獻"
committing,NotFoundAnyMeanings
commodious,"記,商品,多商品很多的地方就是大型超市寬敞的地方,共同,方式,多有很多擺放的方式寬敞的,寬敞的,參,適應,膳食,類,緊張的不是寬敞的異常的不是常去的地方,反,狹窄的,寬敞的"
compact--0,"緊湊的,緊密的,簡潔的,使裝滿,使簡潔,變緊密"
comparable,"可以相比的,比得上的,可匹敵的"
comparison,"相比,對照,比較,比喻"
compassion,"名詞,憐憫,同情"
compatriot,"記共同,愛國者,共同熱愛祖國的人同胞,同胞,同一個國家的人,同國人,同胞"
compensate,"動詞,補償,賠償,酬報"
competence,"名詞,能力,勝任,稱職"
complement,"動詞,補充,補足,與,相配,名詞,補充物,補足物"
completely,"完整地,完全地,徹底地"
completing,"完整的,全部的"
completion,"完成,完結,結束,完美,完全,完整"
complexity,"複雜性,錯綜複雜的狀態複雜的事物"
complicate,"弄復雜,使錯綜,使起糾紛,變復雜"
compliment,"稱贊,恭維,致意,稱贊,褒揚,恭維"
comprehend,"領會,理解,包括,包含,由,組成"
compulsion,"強迫,強制,難以抗拒的沖動,不能克制的欲望"
compulsory,"強迫的,強制性的,義務的"
conception,"思想,觀念,概念,懷孕"
concerning,"關於,與,有關"
concession,"名詞,讓步,讓予物"
conciliate,"安撫,厭惡或敵對情緒,調解參,有睫毛的,有纖毛的,反,使煩惱,激怒,激怒"
concluding,"最後的,結尾的"
conclusion,"總結,結束,決定,結論"
concord--0,"一致,協調,國際的,和睦"
concussion,"記共同,震動震蕩,腦震蕩,大腦因受猛烈撞擊而造成暫時或長期的功能喪失,強烈震動,參,撞擊,震動,討論,激動,沖擊,醫震蕩"
condemn--0,"判刑,責備,處刑,聲討,譴責"
condone--0,"原諒,寬恕,記法給予理解寬恕,原諒"
confection,"記共同,做大家一起做甜食,甜食,例如糖果,甜點心,參,感染,感情,完美,糖果,蜜餞,調制,藥糖膏,劑,精制工藝品"
conference,"名詞,正式,會議,討論會,協商會"
conferring,授予學位等
confess--0,"供認,承認,懺悔,供認,承認,懺悔"
confidence,"確信,自信,信任,保守秘密"
confine--0,"限制,閉居,禁閉邊緣,範圍,區域"
confiscate,"充公,由政府沒收私人財產來作為公共財物,根共同,財富財富成為共同財產充公參,財政的,會計的,沒收,充公"
confluence,"記一起,流流到一起匯流,兩條或多條溪流,匯流,河流交匯處,參,多余的,富裕,富足,類,河流在匯流處相交道路在交叉點相交,反,分歧,匯合"
conforming,"遵照,遵守,適應"
conformist,"法律,習慣,遵守者,記,共同,形式,規範,儀禮,遵照規範儀禮"
congregate,"記共同,群體共同聚成群體集合,共同,門,共同,考,的同學們共同聚集在美國大使館的,門前,示威,聚集,集合,成一組,一群或集會,參,聚集,合計,社交的,群居的,聚集"
conjure--0,"想起,變出,記法,全部,發誓,法官逼你想起來全部都要發誓"
connection,"聯接,連結,聯系,親戚關系"
connive--0,"暗中合作,共謀,縱容假裝忽視或並未採取措施阻止錯誤"
conscience,"良心,是非感,知道"
considered,"考慮過的,被尊重的"
consign--0,"把,委託,託運,共同,簽名,打發,棄置"
consisting,組成
constitute,"制定,法律,建立,政府,組成,任命"
constraint,"強制,強迫,對感情的壓抑"
containing,"包含,包括"
contest--0,"動詞,競爭,角逐,爭辯,名詞,爭奪,競爭"
continuing,"連續的,持續的,不間斷的"
continuous,"連續的,繼續的,連續不斷的連續的"
contortion,"扭彎,扭歪,曲解"
contraband,"違禁品,走私,禁運的,非法買賣的"
contracted,"收縮了的,簡約的,契約的"
contradict,"反駁,駁斥,與,矛盾,與,相抵觸"
contraries,NotFoundAnyMeanings
contravene,"違背,法規,習俗,記法,反,來"
controlled,"受約束的,克製的,類,無法破譯的不能被破譯無法控製的不能被控製,受約束的,克制的"
controvert,"反駁,駁斥參,內向的人,反,証實,把,比作"
convalesce,"康復,源,動詞尾,逐漸變強壯就是,康復,衍,衍,例"
convenient,"方便的,便利的,省事的"
convention,"大會,會議,公約,協定,習俗,慣例,習俗,慣例"
convergent,"會集于一點的,聚性的,收斂的,反,移開,有差異的,差異,會集于一點的,會聚性的,收斂的"
conversely,"副詞,相反地,反過來說"
conviction,"深信,確信,定罪,宣告有罪"
convincing,"有說服力的,令人信服的,有論據證實的"
convoke--0,"記一起,喊,召集召集到一起開會,召集會議,參,集會,懇求,激怒,煽動,反,延期,休會,召集"
convulsion,"抽搐,強烈的,陣發的,不規律的,不自覺的肌肉收縮,強烈的騷動,類,抽搐是強烈的肌肉收縮瘋狂是強烈感情,震撼,動亂,震動,驚厥,痙攣"
coordinate,"同等的人物,同位格,坐標,同等的,等位的,使,協調"
copious--0,"多產的,豐富的,冗長的,滔滔不絕的,冗贅的文體"
cordial--0,"興奮劑,興奮性飲料,熱忱的,誠懇的,興奮的"
cornucopia,"記角,豐富象征豐饒的角,豐饒角,裝滿水果,花朵和谷物,象征繁榮的羊角,參,豐富的,類,豐饒角象征富足權杖象征權力,反,缺乏,短缺,少量,微薄的薪俸,希神哺乳宙斯的羊角,滿裝花果象征丰饒的羊角,通常用于繪畫或雕刻中,丰富,丰饒"
coronation,"記角,國家在國家領導人的頭上放一個羊角似的東西加冕,加冕,為君主或其配偶加冕的行為或儀式,類,加冕禮是執政的儀式婚禮是結婚的儀式,加冕禮"
correcting,糾正
corrigible,可矯正的
corrugated,"起皺紋的,反,平滑的,縮成皺紋的,使起波狀的"
counter--0,"櫃檯,計數器,相反的,與,相反地,反對,反擊,反對,反擊"
counteract,"動對,起反作用,抵銷,中和"
crabbed--0,"記,螃蟹,壞脾氣的人,脾氣乖戾的,乖戾的,易怒的,難懂的,潦草的"
craftiness,NotFoundAnyMeanings
critically,"批判性地,苛求地,危急地,嚴重地"
criticisms,批評
cryptic--0,"秘密的,不公開的,神秘的,根秘密,參,偽經,密碼,類,密碼特點是秘密的摘要特點是簡潔的,神秘的使困惑,反,不言自明的"
cultivated,"耕耘的,有教養的,栽植的,反,野生的,未馴服的,野獸的,耕耘的,有教養的,栽植的"
culturally,文化上
curmudgeon,"記跑,泥跑到泥巴裡去脾氣暴躁的人,流氓,媽的,真真他流氓脾氣暴躁的人,讀麻疹,出麻疹是因為脾氣暴躁,滿懷怨恨而且頑固的,脾氣暴躁的人,反,隨和的人,乖戾的,老,人,脾氣壞的人,愛爭吵的,老,家伙"
curriculum,"名詞,學校的全部課程"
cursory--0,"匆匆忙忙的,粗略的,草率的"
curtail--0,"削減,經費等,縮短,講話等,剝奪,特權,官銜等,類縮短周期削弱能量降低力量反,延長,拖延,延長,拉長"
cushioning,柔化
deactivate,"記不,行動使不行動遣散,使無效,使無效,尤指用化學方法,遣散,解散部隊,反,使更有效,解除動員,使無效,復員,使不活動"
debacle--0,"強烈的分解或瓦解,導致崩潰或潰敗"
debauchery,"放蕩,縱情酒色,道德敗壞"
deceive--0,"欺騙,類,欺騙,詭計"
decorating,裝飾
decorum--0,"端莊,彬彬有禮,合宜"
dedication,"奉獻,對某事業或目的忠誠,題獻,寫在作品前,獻給某人以示愛戴和敬仰,參,專注的,獻身的,類,固執是過分忠誠狂怒過分生氣嚴格的人不寬大業余學者不奉獻"
defamation,"記表示一種卑劣的行為,對你的爸媽做了一種卑劣的行為誹謗,中傷,誹謗,中傷,源,誹謗,使壞,名聲使名聲壞誹謗,參,破壞名譽的,誹謗的,反,贊詞,頌詞,誹謗"
defense--0,"名詞,防禦,保衛,防護"
deficiency,"名詞,不足,缺陷,缺點"
definition,"定義,解說,精確度,輪廓影像等的,清晰度"
deflate--0,"放氣,洩氣,使變小,通貨緊縮"
deflect--0,"使偏斜,使轉向,避開"
defoliator,"記,葉子總稱,除葉劑,食葉之昆虫,類,落葉劑使樹死亡殺虫劑使昆虫死亡,除葉劑,食葉之昆虫"
dehydrated,脫水的暑熱
delectable,"完全等於,令人愉快的,美味的"
delimit--0,"界定,限定,記法,向下,界線,畫下界線,確定界線"
demands--0,需求下
demotic--0,"人民的,民眾的,通俗文體的"
denouement,"小說,戲劇等的結局,收場"
dependable,"可信任的,可靠的,可信賴的"
deplete--0,"大量減少,耗盡,使枯竭"
deplore--0,"悲嘆,強烈反對,譴責,向下,喊"
deposition,"罷免,在法庭上的,宣誓作證,證詞,證言"
depreciate,"折舊,使,貶值,降低,貶低,輕視"
depression,"抑鬱,沮喪,不景氣,蕭條,期,窪地"
deracinate,"記使失去,種族滅絕種族根除,根除,杜絕,使背井離鄉,反,種植,根除,使孤立,滅絕"
derivation,"引出,衍生,起源,派生"
derivative,"引出的,系出的引出之物,系出物,衍生字"
derogatory,"減損的,有傷品格的,貶低的"
descendant,"後裔,傳下來的東西,傳下的,下降的"
describing,"描寫,描繪,敘述"
despair--0,"動詞,絕望,喪失信心,名詞,絕望"
despondent,"喪氣的,失望的,沒有精神的"
destroying,銷毀
detachment,"不受他人影響的,獨立,客觀,冷靜,超然"
determined,"心意堅決的,意志堅定的"
detonation,"爆炸,記,打雷調,打雷,爆炸"
detract--0,"減損,價值,名譽等,轉移"
developing,"形容詞,發展中的,開發中的"
devotional,"專心的,獻身的,虔誠的,類,哀歌的表示悲哀虔誠的表示尊敬,專心的,獻身的,信仰的,虔誠的,禱告的"
devoutness,虔誠
diabolical,"記,暗黑破壞神,一個著名游戲的名稱,又稱恐懼,惡魔的,刻毒的而且殘忍的,反,慈善的,魔鬼似的,純潔的,天使一般的,惡魔的"
dictate--0,"口述,口授,使聽寫,口述,口授,聽寫,命令,支配命令,支配"
difference,"不同,差別,區別,分歧,爭論"
difficulty,"困難,艱難,難點,難事,困境,異議,反對,爭論"
diffidence,"記不,信任不信任自己缺乏自信,缺乏自信,膽小或羞怯,反,過分自信,勇敢,夸示,缺乏自信"
diffuse--0,"散播,傳播,漫射,擴散,使,慢慢混合,散開的,彌漫的"
digressing,NotFoundAnyMeanings
dilapidate,"使荒廢,毀壞,浪費"
dilemma--0,"困境,進退兩難的局面"
dilettante,"只懂皮毛知識的人,註,指,淺淺地浸入水中,如嬉水,引申為,涉足,非主要的職業,某一領領域,如,源,從義大利文來來,指,原指,並無負面意涵,後指,對某領域只有表面認識的人"
diminished,"減少了的,被貶低的"
diplomatic,"形容詞,外交的,有外交手腕的"
directions,"說明書,用法說明,指示"
disability,"名詞,無能,殘障"
disastrous,"災難性的,造成災害的極壞的,很糟的"
disavow--0,"否認,不承認,不贊成"
discern--0,"費力地,識別,看出"
discerning,"有敏銳眼力的,辨別力好的,有洞察力的,類,引入入勝的是十分有吸引力的眼光銳利的是十分有洞察力的,反複無常和反複無常的洞察力和有洞察力的,反,近視的"
discipline,"紀律,風紀,訓練,訓誡,教養,修養,學科"
disclosure,"名詞,透露,揭發的事情"
discomfort,"動詞,使不舒服,使不安,名詞,不舒服,不安"
discommode,"記方便,如,日用品,使不方便,給,添麻煩,參,寬敞的,廁所,反,幫助,安撫,施恩惠于,幫助,使方便,平息,使安心,使不方便,使為難,使不自由"
discompose,"記,組合,使沉著,一起,放放到一起的狀態沉著,使慌張不安,擾亂,類,使不安不是平靜的捏造不是真實的坦白的,使忙碌不是單調的,反,安撫,使鎮靜,不安"
disconcert,"衍,協調,一致,形容詞,共同的,合作的"
discontent,"記,內容,滿足,滿意的,使滿足,不滿足,無止境的渴望更好,不滿的,參,不滿意的,類,抱怨表示不滿贊揚表示欽佩,不滿"
discordant,"不一致的,沖突的,聲音不和諧的,刺耳的,參,心臟病學,興奮劑,誠懇的,興奮的,類,年代錯誤是時間錯誤不和諧是聲音錯誤"
discourage,"使泄氣,使沮喪,阻攔,勸阻"
discussion,"討論,論述"
disdain--0,"輕蔑,鄙視,記法,高貴的,使不高貴的輕蔑,鄙視"
disenchant,"對,不在抱幻想,使清醒,記,不,使成為,唱,不再使唱歌陶醉使清醒,不再抱幻想"
disgruntle,"使發怒,使不滿意,使疏遠,使不友好"
disgusting,"令人作嘔的,討厭的類顯眼的是很引人注意的可憎是很令人討厭的反,使人神魂顛倒的"
