aerie,"鷹巢,高處的房子,高處的城堡"
plane,"平面,飛機,水準,平的,平面的,平坦的,將,刨平,刨平,飛翔"
plans,"計畫,方案,打算"
plant,"植物,工廠,生長,種植,栽培,培養,安置,種植"
plead,"動詞,為,案件,辯護,懇求"
pleat,"記,懇求,他懇求他的時候要下跪,所以衣服就褶了,衣服上的褶,打褶,類,打孔產生孔打褶產生褶,褶,褶狀物,使,打褶"
plots,故事情節
pluck,"勇氣,猛拉,動物內臟,摘,猛拉,拔,拉,扯,采,拆毀,拉,拽"
plumb,"正好垂直的,測量,深度,仔細地或深入地檢驗參,鉛水管工人,鉛工業,鉛管品製造,類量尺寸測直徑量壓力測深度評估價值校驗精確性"
plume,"羽毛,羽毛裝飾,用羽毛裝飾,整理羽毛,自誇,使成羽毛狀"
plump,"圓胖的,丰滿的,鼓起的,突然放下,使丰滿,使鼓起,變丰滿,鼓起,使發胖或鼓起的東西,鼓鰓物,沉重或突然墜落,沉重地,突然地,坦白地,扑通聲"
plush,"長毛絨,絲絨,長毛絨褲,長毛絨制的,豪華的"
poach,"水煮,荷包蛋,偷獵,侵入,偷得,偷獵,陷入泥中"
point,"點,小數點,標點,地點,一點,要點,細目,特點,尖端,分數,得分,穴位,弄尖,它是指正式站的延伸,它的地位附屬於每個正式節點站之下"
poise,"記,放,中間有一個,想象成天平的支點,放在上面保持平衡,使平衡,泰然自若,沉著冷靜,參,沉默的,老練機智,讀愛,老練的人相愛不需要說話,平衡,均衡,姿勢,鎮靜,砝碼,使平衡,使懸著,保持,姿勢,平衡,懸著,准備好,猶豫"
polar,"兩極的,極地的,南轅北轍的,南極的,北極的,極性的極線,極面"
posse,NotFoundAnyMeanings
power,"電源,能力,體力,力量,勢力,動力,權力,權限,乘冪,功率,使,有力量"
prank,"開玩笑,惡作劇,戲謔,盛裝,裝飾,打扮,打扮漂亮"
prate,"毫無目的地,瞎扯參,閑聊,類閑聊是無目的地說閑逛是無目的地走"
preen,"整理羽毛,人過分,打扮修飾,參,整理羽毛,類,打扮表示自我滿足冒怒氣表示憤怒,自然的人不會假裝艷俗的人不會打扮禮貌的人不會怠慢"
press,"壓,按,印刷,壓力,擁擠,緊握,新聞,壓,壓榨,緊抱,逼迫,壓,逼迫,擁擠,受壓"
pride,"自豪,自尊心,驕傲,自滿,傲慢,引以自豪的人或物,使,自豪"
prime,"形容詞,最初的,原始的,基本的,動詞,灌注,裝填,作準備,名詞,最初,初期"
primp,"記,最早的,最好的,屁,把屁股向最好處打扮,過分打扮,打扮,婦女過分注意細節地修飾或整理,類,刻意打扮是虛榮的表現沾沾自喜的看是自鳴得意的表現,打扮,裝飾"
prior,"形容詞,在先的,在前的,居先的,副詞,在前,居先,名詞,修道院院長或副院長"
prism,"稜柱體,角柱體,稜鏡"
prize,"獎賞,獎金,獎品,戰利品,捕獲,橫財,得獎的,珍視,估價,捕獲,撬,撬動"
probe,"在偏遠的地區對陌生的事物或可疑的活動進行,探索,探測參,試用期,察看,官方批準,認可,類挑剔是過分批判探索是過分調查,民意測驗專家,整理民意測驗結果的人"
prone,"傾斜的,有,傾向的,易於,的"
proof,"証據,証明,試驗,檢驗,考驗,不能透入的,証明用的,防,的"
prose,"散文,我一直偏好讀散文而不是詩歌"
prove,"証明,查驗,檢驗,勘探,顯示,証明是"
prowl,"潛行,徘徊,悄悄踱步,潛行以覓食,徘徊,徘徊,逡巡於"
proxy,"代理,代理人,委託書,代理主機,是一種在防火牆保護下的大系統中,以作為代理主機來存取"
prude,"記,小心,小心的人,過分守禮的人,讀不,粗俗的,不粗俗,過分有禮的人,過分守禮的人,過分關心自己是否是或顯得得體,謙遜或正確的人,參,謹慎小心的,類,狂熱者過分熱衷拘謹者過分得體,裝成規矩的女人,尤指在性問題上,故做正經的女人"
prune,"幹梅子,梅幹,深紫紅色,傻瓜,修剪,砍掉,刪除,刪除,刪節"
psalm,"聖詩,聖歌,詩篇,唱,聖歌"
pulpy,稀爛
pulse,"脈沖,脈動,意向,動向,搏動,使跳動,用脈沖輸送,脈搏"
punch,"打洞器,鑽孔機,沖壓機,沖床,力量,毆打,混合甜飲料,以拳重擊,開洞"
purge,"淨化,清除,瀉藥,使,淨化,清除,使,通便"
pushy,"形,堅持己見的,推有,的,形容詞一直將自己的意見推出去"
pylon,"記讀怕冷,所以要架高壓電線架,供電后就可以,用來支撐高壓電線的,高壓電線架,類,支杆支撐機翼支索支撐高壓電線架,塔門,路標塔"
quack,"冒充內行之人,庸醫,未經訓練而裝作醫生並提供藥方和治療的人,反,誠實的從業者"
quaff,"暢飲,盡情地喝飲料,類暢飲對吸飲大步走對小步走鑽研對瀏覽,探查"
quail,"畏懼,由于害怕而向后退縮,反,變得堅決的,使大膽"
qualm,"良心不安,開頭,例,解,通常,用複數,表示內心有,許多,不安"
quash,"通過司法行為,取消,拒絕接受反,造成,煽動,使,具有資格,証明合格,限制修飾,限制,限定"
queue,"隊列辮子,長隊,梳成辮子,排隊,一組等待處理的數據包或事物"
quick,"快的,迅速的,敏捷的,靈敏的,活潑的,急劇的,快活肉,要點,本質,核心"
quiet,"安靜,閑適,平靜,安靜的,靜止的,寧靜的,寂靜的,樸素的,從容的,僻靜的"
quill,"記,去,用,扎你一下,你就會,豪豬等動物的,刺,羽毛,區,鎮壓,羽莖,大翎毛,豪豬,刺,的剛毛,刺穿"
quirk,"記,去,使厭倦,讀餓渴去尋找餓渴的狀態,怪癖,怪癖,急轉,遁詞,怪癖"
quite,"十分,完全,相當,頗,的確,真正"
quota,"定額,限額,配額,一分子"
quote,"動詞,引用,引述,名詞,引文,報價"
rabid,"患狂犬病的,失去理性的反,合乎邏輯的,分開的,超然的"
races,種族
raise,"上升,高地,增高,提出,升起,舉起,喚起,提高,使出現,使復活,提出,籌集"
range,"範圍,行列,射程,排列,歸類於,使並列,放牧,平行,延伸,排,行,山脈"
ranks,隊伍
rapid,"迅速的,飛快的,急促的,險峻的急流"
raspy,"記源于,粗銼刀,用粗銼刀銼,聲音,刺耳的,反,如蜜般流暢的,刺耳的,焦躁的,易怒的"
ravel,"記,一個人容易把他和群眾,拆開,把一塊布上的纖維或線拆下來,通過分開各部分而,使清楚,反,編織,結合,使糾纏,使混亂,解開,弄清,散開,解決,錯綜復雜的一團"
razor,"剃刀,他用剃刀刮臉"
reach,"伸出,延伸,區域,範圍,河段,岬,到達,達到,伸出,延伸,影響,達到"
react,"反應,反抗,對,有作用"
ready,"預備好的狀態,現款,准備好的,備用的,可以使用的,預先,准備"
realm,"領土,知識,興趣的,範圍,通常與介詞並用"
rebel,"叛徒,反叛者,造反,反抗,謀反,抵抗,反感,造反的,反抗的"
rebus,"記,反,把小汽車反過來就是一個,字,畫迷,畫謎,用畫或符號的形式來代表字詞,例,類,畫迷由符號組成樂譜由音符組成,猜字的,畫謎"
refer,"把,提交,讓,查閱,把,稱作,把,當作,把,歸因於,把,歸類於"
reign,"執政,君主統治,統治,支配,當政,統治,支配,占優勢"
relat,NotFoundAnyMeanings
relax,"放鬆,鬆懈,鬆弛,變從容,休息,休養,使松馳,緩和,使鬆懈,使休息"
relic,"神聖的遺物,遺跡,紀念物,遺風,殘片"
repay,"償還,報答,報復"
repel,"逐退,抵制,使厭惡,抗,反抗,擊退"
reply,"答復,回答,答辯,答復,回答,回擊,反響,答辯,回答"
resin,"記,反複,罪孽,反複犯了罪孽就會被樹脂做成琥珀,樹脂,源于植物的透明黃棕色的固態或半固態的粘性物質,用于製漆,粘合劑,合成塑料以及藥品,類,樹脂在樹上橡膠在橡膠樹上,樹脂,涂樹脂于"
revue,"記讀音和,回顧,評論,一樣,就是評論時事,諷刺時事的滑稽劇,諷刺時事的滑稽劇"
rhyme,"韻,押韻,韻文,押韻,作詩,使押韻,用韻詩表達"
rider,"騎馬,或其他牲口,自行車,的人,騎手,附文,扶手"
rides,機動遊戲
ridge,"動詞,使成脊狀,名詞,屋脊,山脈,狹長的,隆起部"
rifle,"步槍,來福槍,欲偷竊而,迅速翻找,書頁,櫃子等"
right,"正確的,合適的,正當的,健康的右邊,右派的權利,公道,正義,糾正"
rigid,"剛硬的,堅硬的,僵硬的,刻板的,嚴厲的,剛性的"
rigor,"嚴格,嚴厲,苛刻,嚴酷,嚴密,精確"
ripen,"記源于,熟的,成熟的,使成熟,類,使成熟達到成熟使堅硬達到堅硬,使成熟,成熟"
risks,風險
risky,"危險的,冒險的,大膽的"
rival,"形容詞,競爭的,動詞,與,競爭,比得上,名詞,競爭者,對手,敵手"
riven,"撕裂的,分裂的"
river,"江,河,河流,生與死的界河,界河"
rivet,"鉚釘,用鉚釘固定,敲進去,注目,固定"
rough,"粗糙的東西,毛坯,未加工品,梗概,草圖,暴徒,艱難,粗糙的,粗暴的,蓬亂的"
rouse,"覺醒,奮起,喚醒,鼓舞,激動,使振奮,驚起,醒來,奮起"
route,"路徑,途徑,路線,確定路線,按規定路線發送"
ruddy,"紅潤的,氣色好的,紅寶石"
ruins,"斷垣殘壁,遺跡"
ruler,"標尺統治者,管理者,尺,直尺"
rules,"規則,規定"
rumor,"動詞,謠傳,傳說,名詞,謠言,謠傳"
runic,"北歐古代文字的,神秘的"
rural,"鄉下的,田園的,鄉村風味的"
salve,NotFoundAnyMeanings
savor,"滋味,氣味,食欲,有,的滋味,加調味品於,使有風味,嘗到"
savvy,"有,知識的,嫻熟,的,老练,机智,明确了解,有见识的,精明能干的"
scads,"大量,巨額"
scale,"比例,刻度,衡量,比例尺,數值範圍,等級,規模,天平,秤盤,秤,鱗,鱗片,積垢"
scant,"少量的,不足的,貧乏的,他很少關心自己孩子的需求"
scarf,"圍巾,頭巾領巾,嵌接,嵌接處,切口,圍,圍巾,披,頭巾,嵌接"
scion,"記,切,上邊把人的上面切點,人變矮了,子孫,嫩芽,子孫后代,反,祖先,幼芽,子孫"
scoff,"嘲笑,嘲弄的話,嘲弄的對象,愚弄,笑柄,食品,輕蔑地說,嘲笑,嘲弄,貪吃,狼吞虎咽"
scold,"好責罵的人,責罵,責罵,嘮嘮叨叨地罵,怒罵"
scoop,"鏟子,勺子,穴,口,獨家新聞,汲取,舀取,挖空,搶先登出"
scope,"範圍,機會,廣度,眼界,觀察儀器,導彈射程"
scorn,"對被認為是可鄙的或無用的人或物,輕蔑,瞧不起類,可敬的被尊敬可敬畏的被敬畏可鄙的被鄙視輕視就是放棄諂媚就是奉承輕蔑就是忽視"
scour,"沖洗,擦亮,搜索或追捕時,急速走遍,擦,洗,沖刷,腹瀉,急速穿行,擦,洗,洗滌劑,腹瀉"
scowl,"皺眉毛,表示憤怒或者反對,類皺眉頭表示不高興接吻表示友愛憤慨的說表示厭惡"
screw,"螺旋,螺杆,螺孔,螺絲釘,螺旋槳,吝嗇鬼,調節,扭緊,旋,擰,加強,鼓舞"
scrub,"用力擦洗,矮樹,矮人,渺小之物,用力擦洗,擦掉,摩擦,擦洗幹淨"
scuff,"記,讀,讀膚,皮膚被,出,拖著腳走,磨損,類,拖著腳走使磨損加熱使蒸發,拖足而行,磨損,以足擦地,踐踏,使磨損,拖著腳走,磨損之處"
seamy,"情形醜惡的,骯髒的,電影生動地再現了上世紀年代初倫敦生活中醜惡的一面"
seeks,NotFoundAnyMeanings
seine,"記,塞納河,法國北部的一條河,首次在塞納河使用,捕魚用的,拖拉大圍網,類,羅網捕鳥魚網捕魚,捕魚用的,拖拉大圍網"
seize,"抓住,逮住,奪取,占領,沒收,查封,理解,掌握,抓住,利用"
sells,NotFoundAnyMeanings
sense,"偵測,感應,感覺,感官,意識,觀念,情理,知覺,理智,感覺,覺察,瞭解"
sewer,"下水道,陰溝,裁縫師,用下水道排,安下水道於"
shake,"搖動,震動,搖動,動搖,使震動,揮舞,震動,發抖,動搖"
shale,"記讀,貝殼,也是一層一層的感覺,頁岩,由泥土細粒的沉澱物層組成的易分裂的岩石,類,礦脈中含頁岩蓄水層中含源泉,地頁岩,泥板岩"
shame,"羞愧,羞恥,可恥的人,使羞愧,恥辱"
shape,"形狀,形態,外形,定形,形式,身材,定形,使成形,塑造,計劃"
shard,"記象聲詞剎的一聲陶瓷就碎了,陶瓷碎片,在考古發掘中發現的陶器等的,碎片,類,陶器的碎片骨頭的碎片面包的碎屑,瓷碎片,破片"
share,"部分,參與,一份,參股,份額,均分,分擔,分享,分配"
sharp,"鋒利的,銳利的,陡的,急轉的,輪廓分明的,刺耳的,敏銳的,機警的,正,准"
shear,"修剪,剪下的東西,羊的一歲,大剪刀,切變,剪,切,修剪,割,剝奪,切"
sheer,"絕對的,全然的,徹底的,純粹的,透明的,峻峭的,躲開,躲避"
shell,"貝,卵,堅果等的殼,外殼,炮彈,人的表面性格,去殼,脫落,炮擊,剝皮,炮轟"
shift,"移位,變化,移動,輪班,手段,辦法,替換,轉移,改變,移轉,推卸,變速,轉換"
shine,"照耀,發光,使光亮,擦亮光彩,光澤"
shiny,"形容詞,晴朗的,有光澤的"
shirk,"逃避,職責或責任,類回避問題逃避責任隱遁人群吝嗇的人節約裝病的人逃避守財奴秘藏裝病的人逃避"
shoal,"記源于,淺的,淺薄的,淺灘,淺水處,一群,魚等,反,深的,深奧的,深淵,深處,淺灘,沙洲,魚群,大量,水淺的,使,變淺,駛入,淺水等,魚等,群集"
shock,"震動,沖突,震驚,沖擊,打擊,突擊,禾束堆,休克,亂蓬蓬的一堆,使震動"
shoes,"鞋子,常用複數"
shoot,"發射,射擊,射箭,開槍,槍殺,槍斃,投射,沖刺,拍攝,拍照芽,苗,嫩枝,竹筍"
short,"短的,近的,矮的,短期的,短暫的,簡短的,少量的,簡短地,突然扼要"
shove,"口推,擠,口推擠,猛推,強使,推"
shown,的過去分詞
showy,"中花俏的招搖的過分華麗的,記,展現,展現的花俏的招搖的"
shred,"動詞,切成條狀,用碎紙機撕毀,文件,名詞,碎片,碎條,破布"
shrub,"矮樹,灌木,加砂糖和酒的一種果汁"
shrug,"動詞,聳,肩,名詞,聳肩"
shuck,"記讀殺殼效果和剝去,的外皮或外殼一樣,剝去,的外皮或外殼,牡蠣,豌豆或山胡桃等的,外殼,莢,殼"
shunt,"使轉軌,使分流,改變,推延,轉向一邊,轉軌,往返轉軌,分流"
sibyl,"記讀,整天看紫水晶球的女人,女巫師,古代的,女預言家,女先知,女巫,女算命師,古羅馬或古希臘的,女預言家"
siege,"包圍,圍城,長期努力,不斷襲擊,圍攻,包圍,圍攻"
sight,"景觀,視力,眼界,閱讀,見解,意見,看見,瞄準,瞄準,觀看,即席的"
signs,"記號,符號"
silly,"傻的,愚蠢的,沒頭腦的"
sinew,"記,死,新死后的肌肉還是新的,生前強有力,死,讀牛這人死牛死牛的,強有力,充沛的力量,反,虛弱,軟弱,肌肉,精力,體力,原動力,解腱,賦予力量,加強"
singe,"記原指用微火燎去鳥或動物的尸體上的毛,罪孽,哥哥,哥哥犯錯與庶民同罪,燒焦了他,輕微地燒焦,類,燒焦過分是燒成灰燼腐蝕過分是毀滅,燒焦,烤焦"
siren,"女海妖,妖女,警報器,汽笛,迷人的美女,誘惑的,響著警報器前進"
skiff,"記只需要一點兒,就是劃,平底無篷淺槽的單人劃的,小船,參,煎鍋,用,也需要一點兒,技術,類,標槍是一種投射物小船是一種船,小船"
skill,"技術,技巧,技能,熟練,巧妙"
skimp,"克扣,吝嗇給考,吝嗇的人節約裝病的人逃避"
skirt,"裙子,下擺,邊緣,郊區,位於,邊緣,裝邊於,回避,位於邊緣"
slack,"松弛,靜止,淡季,閑散,家常褲,松弛的,不流暢的,疏忽的,軟弱的,漏水的,呆滯的,懶散的,馬虎地,緩慢地,使松弛,使緩慢,馬虎從事,松懈,減弱,松馳"
slake,"解渴,消渴,都要找到解渴"
slate,"板岩,石板,石片,藍色,暗藍灰色的,含板岩的,鋪石板"
sleep,"睡眠,靜止,睡意,昏迷,麻木,長眠,冬眠,靜寂,睡覺,睡眠,靜止"
slice,"薄的切片,一部分,菜刀,切成薄片,切下,切"
slick,"光滑的,熟練的,聰明的,華而不實的,陳腐的,平凡的,老套的,靈活地,聰明地,使光滑,使漂亮,平滑的水面,平滑器,修光工具,打扮整潔"
slide,"滑,滑道,滑梯,山崩,雪崩,幻燈片,使滑動,偷偷放入,滑動,滑落,滑"
sling,"投石器,拋擲,吊物機,用投石器投擲,用吊鉤釣上,吊起"
slope,"傾斜,斜坡,斜率,掮槍的姿勢,使傾斜,弄斜,掮,傾斜,逃走,美俚貶東方人,尤指越南人"
slurp,"大聲地啜喝,啜食,啜食聲"
slyly,"狡猾的,秘密地,頑皮地"
small,"小的,少的,小型的,瑣碎的,低微的,小氣的,細微的,些微地狹小部分"
smart,"刺痛,痛苦,巧妙的,聰明的,漂亮的,瀟洒的,刺痛的,劇烈的,厲害的,敏捷的,刺痛,懊惱,輕快地,嚴厲地,靈巧地,精確的,時髦地,大大的"
smear,"涂上,抹掉,涂污,誹謗,抹去,油跡,污點,涂片,釉,中傷"
smell,"味道,氣味,嗅覺,嗅,臭味,風味,聞,探出,察覺,發出,的味道,嗅"
smirk,"記又餓又渴還笑,假笑,假笑,做作地,自鳴得意地笑,參,使厭倦,讀又餓又渴,類,自鳴得意的笑表示沾沾自喜譏笑表示嘲諷,傻笑,假笑"
snake,"蛇,陰險之人,曲折而行,迂回,拉,急抽"
snare,"動詞,用陷阱等,捕捉,誘,入圈套,名詞,捕捉鳥,獸的,陷阱,圈套"
sneer,"嘲笑,一種表示蔑視的面部表情,類臉紅表示狼狽的譏笑表示蔑視的自鳴得意的笑表示沾沾自喜譏笑表示嘲諷因痛苦退縮因快樂微笑因蔑視譏笑因不愉快撅嘴"
snide,"記源于法國,世紀的諷刺學家施奈得,用意險惡的,諷刺的,騙子,卑鄙勾當,贗品,假珠寶,偽造的,不誠實的,卑鄙的,暗諷的"
soggy,"浸水的,沈悶的,潮濕的"
solid,"形容詞,結實的,堅固的,名詞,固體食物,非流質食物"
somet,NotFoundAnyMeanings
sorry,"難過的,對不起的,抱歉的,遺憾的,後悔的,可憐的,使人傷心的"
sorts,"種類,分類"
sound,"聲音,語音,噪音,吵鬧,語調,聽力範圍,探條,海峽,健全的,可靠的,合理的"
space,"空白,間隔,隔開,分隔,留間隔空白,位置,空間,距離,太空"
spank,"記,跨度,范圍,以掌測量,所以,作為詞根有手掌的意思,用手掌拍打屁股,為了懲罰用平的物體或手掌,拍,屁股,打,的屁股,拍擊,鞭策,前進,飛跑,飛跑,一巴掌,出色的人,或東西"
spark,"火花,火星,閃光,情郎,花花公子,活力,電信技師,瞬間放電,閃爍,發火花,求婚,發動,鼓舞,使有朝氣,求婚"
spate,"一場突發的,洪水,同時涌來的,大批,某物,反,細流,缺乏"
spawn,"魚等的,卵,大批生產的后代,產,卵,大量繁殖"
speak,"說,說話,演說,發言,表明,說,講,說出"
spear,"矛,槍,持矛者,用矛刺,刺,戳,父系的"
speck,"記源于,啄痕,就是一點一點的吃,少量,根少量,參,輕罪,小過失,小斑點,小污點,少量,一點點,例,滄海一粟,參,輕罪,小過失,類,類是小生物少量是很小量,斑點"
speed,"速度,迅速,速率,加速,超速,快進,快速傳送,促進,使加速,俚脫氧麻黃鹼,一種強興奮劑"
spell,"符咒,魅力,一段時間,輪班,拼寫,拼成,意味著,輪值,招致,迷住,輪替,拼字"
spend,"花費,浪費,度過,消耗,消磨,獻出,花費,用盡"
spent,"記,是,的過去式和過去分詞,總是,就會,精力,物質等,用盡的,東西,失去效能的,類,不穩定的缺乏穩定失去效能的缺乏效能,用盡的,精疲力盡的,失去效能的"
spike,"穗,長釘,釘鞋,女高跟鞋,道釘,用大釘釘,用長而尖之物刺,阻止,穿刺"
spire,"尖塔,尖頂,旋渦,螺旋,突出,聳立,螺旋形上升,給,加塔尖"
spite,"惡意,怨恨,不顧,故意刁難,欺侮"
split,"劈開,裂片,裂縫,分裂,派系,派別,分散的,分離,分開,裂開,美俚離開,逃跑"
spoil,"戰利品,贓物,獎品,掠奪,次品,損壞,破壞,溺愛,腐壞,掠奪"
spoke,"輪輻,扶梯棍,剎車,裝輻于,剎車"
spoof,"誑騙,愚弄,戲弄,當玩笑地誑騙,戲弄,哄騙"
sport,"運動,遊戲,娛樂,消遣,玩笑,運動的,戶外穿戴的,遊戲,戲弄"
spots,"景點,場所,地點"
sprig,"記,來了,出現,小嫩枝,年輕未成熟的人,參,發芽,萌芽,小枝,小枝狀飾物,子孫,年青人,圖釘,用小樹枝裝飾,用釘子釘上,使蔓生"
squat,"形容詞,蹲著的,矮胖的,動詞,蹲坐,蜷伏,名詞,蹲坐,蜷伏"
staff,"全體人員,同事,棍棒,杆,拐杖,支柱,權杖,為,配備人員"
stage,"階段,舞臺,場所,戲劇,站,驛站,級,層,腳手架,上演,表演"
staid,"記,站,站住不動,鎮定自若的,嚴肅的,鎮定自若的,嚴肅的,反,輕松活潑的,淘氣的,沉靜的"
stain,"污染,汙點,著色劑,沾染,染汙,著色,變臟"
stake,"樁,炮烙刑,木柱,賭注,獎金,打樁,用樁撐,下賭注,資助,打賭"
stalk,"莖,追蹤,高視闊步,悄悄靠近,躡手躡腳地走近,蔓延,高視闊步,追蹤"
stall,"廄,停車處,牧師職位,貨攤,托辭,拖延,關入廄,停頓,推託,支吾"
stamp,"印,郵票,列印器,戳子,圖章,印花,標志,特徵,類型,跺腳,蓋章於,頓足"
stare,"動詞,盯,凝視,名詞,凝視,注視"
start,"開始,起身,出發,跳起,吃驚,出現驚起,出發,開端,起點,吃驚,有利條件"
state,"州,國,狀態,情形,國家,政府,領土,國務,社會地位,國家的,正式的"
steal,"偷,竊取,偷偷地奪取,巧取,僭據,侵佔,偷偷地進行,或投射,偷偷地做,棒盜,壘,偷東西,行竊,偷偷地行動,溜,偷竊,贓物,以極低廉價格買來的東西"
steep,"陡峭的,險峻的,急劇升降的,不合理的,懸崖,峭壁,浸漬,浸漬液,浸,泡,沉浸"
steer,"引導,駕駛,航行,籌劃,駕駛,掌舵,行駛,被駕駛駕駛設備,行路指南"
steps,台階
stern,"尾部,船尾,臀,嚴厲的,嚴格的,堅定的,堅決的,可怖的"
stick,"棍,棒,刺,枯枝,莖,條狀物,插於,刺入,釘住,伸出,粘貼,使停止,粘住,美俚大麻煙卷"
stiff,"堅硬的,嚴厲的,呆板的,生硬的,剛強的,猛烈的,粘的,稠的,艱難的死屍"
still,"形容詞,靜止的,動詞,使平靜,止住,副詞,仍然,名詞,靜物畫,寂靜,蒸餾室"
sting,"刺,刺痛,刺激,諷刺,刺,刺痛,刺激,使苦惱,刺,刺痛"
stirs,NotFoundAnyMeanings
stock,"形容詞,庫存的,現有的,常備的,動詞,給,商店,辦貨,貯存,名詞,公司的,股票,存貨"
stoic,"斯多葛學派哲學家,高度自製者類冷靜的不易被打擾畏縮貪婪的不易被滿足"
stoke,"添加燃料以撥旺爐火,煽動,激起不良想法或情感"
stone,"石頭,寶石,果核,紀念碑,結石,投扔石子,鋪石頭,石的,石制的"
store,"商店,貯藏,倉庫,備用品,存儲器,儲存,貯藏,供給,貯藏,貯藏的"
storm,"暴風雨,政治,社會等方面的,風暴,大動盪,感情的,爆發,激動,暴風雨般的,發作,猛攻,襲取,狠狠抨擊,起風暴,下暴雨,橫衝直撞,猛衝,暴怒,怒罵,強擊,猛攻"
story,"故事,小說,傳奇,描述,閱歷,經歷,真相,報道,層"
stout,"烈啤酒,矮胖子,強壯的,穩重的,勇敢的,堅定的,結實的,矮胖的"
stray,"迷路,偏離,漂泊,漂泊游蕩,迷路的,離群的,偶遇的"
strut,"為了給他人印象而神氣活現地,昂首挺胸地,走路,雙翼機的木質的或金屬的,支柱類傲慢自大地說趾高氣揚地走支柱支撐機翼扶壁支撐牆壁,剝,剝去,條,帶"
stuck,"黏住,陷住,哽塞,被困住"
study,"學習,研究,仔細看,打量,學習學習,學業,研究,觀察,書房,工作室"
style,"樣式,風格風格,時尚,文體,風度,字體,類型,稱呼,設計,使合潮流"
stymy,"高爾夫,妨礙球,妨礙,困境"
sugar,"糖,糖塊,甜言蜜語,加糖于,使甜蜜,粉飾,美化,製成糖"
sulky,"記,生氣,讀騷,上廁所時候鑰匙掉茅坑裡了,悶悶不樂的,生氣的,悶悶不樂的,反,使欣喜,生氣的,陰沉的"
sully,"玷污,污染,使失去光輝或名聲"
surge,"巨湧,洶湧,澎湃,洶湧,澎湃,振蕩,滑脫,放鬆,急放"
surly,"不和藹的,無禮的,板面孔的,陰沈的,粗暴的,乖戾的"
swamp,"動詞,使陷入沼澤,淹沒,使陷入困境,名詞,沼澤,沼澤地,困境"
sweet,"甜蜜,糖果,情人,甜的,芳香的,悅耳的,漂亮的,和藹的,淡的,靈活的"
swell,"增大,隆起的部分,巨浪,腫大,優秀的,一流的,增大,膨脹,腫脹,增強"
swift,"雨燕,大滾筒,迅速的,快的,敏捷的,立刻的,迅速地,敏捷地"
swill,"粗俗或貪婪地,痛飲,沖洗類狂飲不是啜飲狼吞虎咽不是小口食用反,小口啜飲,鳥燕子,吞咽,喉,咽,淹沒,吞沒,取消,忍受,輕信,壓制,耗盡,吞下,咽下"
swine,"記,死,葡萄酒,象豬一樣喝死在葡萄酒裡面,豬,粗野或卑劣的人,豬,卑賤的人"
swing,"搖擺,振幅,音律,節奏,漲落,秋千,旋轉,自由活動,搖擺,懸掛,旋轉,俚趨附時尚,趕時髦,活躍,活潑,亂搞男女關系"
swirl,"漩渦,渦狀形,使成漩渦,打漩,盤繞,頭暈,口揮擊,大口喝酒"
sword,"劍,刀劍,武力,殺戮"
table,"表格,表,高原,平地層,擱置,嵌合,桌子,餐桌,工作臺,石板,銘文"
taboo,"禁忌,禁止接近,禁止使用,禁忌的,忌諱的,禁忌,禁制,禁止"
tacit,"心照不宣的,從中可以推斷出的,心裡明白但口頭不說的,類含蓄的需要推斷加密的需要解碼反,外在的,直率的,明確的表達,直接陳述,約定"
taint,"玷污,疾病,感染,污點,腐敗反,正直,誠實"
taken,"取,拿,過去分詞"
takes,NotFoundAnyMeanings
tally,"符木,古時用,上有刻痕記載交貨,欠款等的數量,記賬,得分,標記牌,標簽,符合,對應物,計數器,點數,計算,記錄,加標簽于,使符合,符合,吻合,記分"
talon,"記讀泰森,擁有銳利的爪子,猛禽的爪子,類,鷹和鷹爪豹和豹爪,爪,魔爪"
tango,"記外來語,探戈舞,一種拉丁美洲室內舞,記外來語,類,探戈是一種舞蹈哀詩是一種詩,探戈"
tangy,"記讀燙雞,特別燙的雞的味道是撲鼻的,味道,氣味,強烈的,撲鼻的,反,溫和的,乏味的,強烈鹽味的,扑鼻的,有刺激性的"
taper,"細蠟燭,微微的光芒,使長形物體的一端,逐漸變狹窄或變薄類減輕強度減少寬度,工具,復滑車,滑車,轆,用具,裝備,扭倒,固定,應付,難事等,處理,解決,抓住,捉住,扭住,扭倒"
tardy,"緩慢的,遲緩的,在計劃,期望或通常時間之后發生的"
taste,"味道,品味,味覺,感受,體驗,愛好,審美,大方,得體,少量,嘗,體會"
tasty,"好吃的,可口的,好吃的東西,吸引人的東西"
tatty,"記讀拖地,工作是拖地的人是衣衫襤褸的,簡陋的,衣衫襤褸的,參,破爛的,襤褸的,碎布,反,巧妙的,聰明的,漂亮的,破舊的,襤褸的,不值錢的"
taunt,"辱罵,嘲弄,嘲弄,奚落,海,桅杆,很高的"
teach,"教,講授,教導,教育,教書,教學,被講授"
tease,"欺負,嘲弄,取笑,強求,梳理,使起毛,揶揄者,戲弄"
tempo,"音樂的速度或拍子,步調,速度"
tempt,"誘惑,引誘,引起,吸引,冒,風險"
tenor,"記,拿,要拿住的東西,要點,拿,拿住高音的人,男高音,男高音,要點,要旨,進程,路程,要旨,大意,男高音,謄本,音,男高音的"
tense,"緊張的,拉緊的,使,緊張,使,拉緊時態"
terms,"在談判,在協商,明確地,措詞嚴密地"
