betrayal,"背叛,告密,泄密,出賣,辜負,暴露"
overhaul,"分解檢查,翻修,精細檢查分解檢查,精細檢查,大檢修"
overlook,"眺望,俯瞰,聳出,檢查,監督,看漏,放任,寬容瞭望四圍的高地"
overrate,"評價過高,高估,估價過高"
overrule,"否決,駁回,宣布,無效,拒絕"
overture,"提议,提案,主动表示,序曲,提议,建议"
overturn,"傾覆,破滅,革命,推翻,顛倒,翻倒"
overused,"對,使用過度"
oxymoron,"記,是坐標中心,是,軸,是,軸,坐標中的,軸是相互矛盾的,矛盾修飾法,把矛盾的詞合在一起,如震耳欲聾的沉默,類,表面否認是委婉地主張矛盾修飾是委婉地悖論,模棱兩可的話是曖昧的矛盾修飾法是不調和的,語,修詞中的,矛盾修飾法"
pacifist,"和平主义者,反战主义者,绥靖主义者,持消极态度者,非战主义的"
palatial,"有宮殿特色的,宏偉的,富麗堂皇的參,阿諛,在,裡面的人擅長區,美味的,源于,盤子,類小屋不是宏偉的城市不是田園生活的"
palliate,"減輕,痛苦,掩飾,罪行,參,緩和劑,類止痛劑減輕疼癰緩釋劑減輕症狀,使平靜,安慰,撫慰"
pamphlet,"名,小冊子,全部愛小物,名詞充滿愛情詩歌的小物"
pancreas,"胰腺,胰臟"
pandemic,"疾病,全國流行的,跨國傳染的,普遍的"
panorama,"記,全,說,媽,媽媽全部說出來,全景,詳細描述,全景,詳細描述,參,萬神殿,手勢,啞劇,反,狹窄部分,狹窄的,全景,全景畫,全景攝影"
parabola,拋物線
paradise,"天堂,極樂世界,快樂,狂喜"
paranoia,"偏執狂,特別狂熱,多疑症類特熱情是狂熱特懷疑是多疑"
parasite,"寄生虫,在另一有機體上生長並以該有機體維持生存,但對宿主毫無益處,食客,趨炎附勢者,類細菌生長在培養基中寄生虫生長在寄主中"
parching,NotFoundAnyMeanings
parlance,"記讀怕爛撕,固定用法是害怕被撕爛的,說法,習慣用語,類,說話的說法走路的步法,談話,說法,用法"
paroxysm,"記,怕,肉,怕吃肉,因為怕高血脂突發,感情疾病等的,突發,類,突發是突然的詭計是欺騙的,發作,突發"
partying,聚會
passable,"可通行的,可渡過的,尚可的"
passions,"情欲,熱情,苦痛,苦難,耶穌受難,亦即"
pastoral,"牧歌,田園詩,牧人的,田園生活的,牧師的"
pathogen,"記,不好的感覺,原,病原體,病菌,病原體,類,刺激物導致喚醒病原體導致疾病,微生物病菌,病原體"
patience,"耐心,忍耐,耐性,忍耐力,堅韌"
peaceful,"平靜的,安寧的,和平的,愛好和平的"
peculiar,"奇特的,罕見的,特殊的,特別的特有財產,特權"
pedagogy,"教育學,教學法,記,教育,引導,學科,教學引導教育學"
peerless,"記,同輩,沒有同輩的,無可匹敵的,出類拔萃的,無可匹敵的,反,相等的,不相上下的,出類拔萃的,無可匹敵的"
penalize,"惩罚,处罚,判罚,使处于不利地位"
pendulum,"鐘擺,擺錘,搖擺不定的人或事態"
penitent,"懺悔的,衍,懺悔,衍,懺悔者,衍,美國州立立,聯邦監獄,懺悔的地方,例,赦免"
penumbra,"記,差不多,影子,差不多是影子,半明半暗之處,半明半暗之處,如在月蝕中在完全陰影和完全照明區之間被部分遮擋的陰影,邊緣部分,在其中以較弱或不確定程度存在的區域,參,畫輪廓,預示,雨傘,天日蝕,月蝕或太陽黑子的半影"
perceive,"察覺,感知,理解,領悟"
perch--0,"動詞,鳥,飛落,棲息,在較高處,暫歇,名詞,鳥類的,棲息處"
perilous,"非常危險的,這些鄉間道路很危險"
permeate,"彌漫,滲透,充滿,透入"
person's,人們
personal,"個人的,私人的,本人的,親自的,涉及私事的,攻擊個人的,身體的,容貌的,文人稱的,律對人的,動產的,報紙上的,人事消息欄,人稱代名詞"
perspire,"出汗,流汗,辛勞,苦幹"
persuade,"勸,使相信,說服,被說服"
pervious,"能被通過或穿過,透過的,透水性土壤對建議等能接受的,恐怕他不會接受我們的建議"
petition,"動詞,向,請願,請求,名詞,請願,請願書"
phonetic,"語音的,根,語言,語音的,語音學的,表示語音的"
phony--0,"偽造的,開頭,記,詐騙集團的聲音,是偽造的,假造聲音"
physical,"形容詞,身體的,物理學的,名詞,身體檢查"
piddling,"瑣碎的,微不足道的以至于不值得考慮的,區,填料,類,不安的不是平靜的瑣碎的不是重要的,不重要的,微不足道的"
piercing,"指聲音等,尖銳的,刺耳的,指風,寒冷等,刺骨的,穿透的"
piety--0,"孝順,孝敬,虔誠,虔誠"
pinnacle,"頂端,開頭,針,解,用,針,來記,針是,尖,的,中的,表,小"
pinpoint,"極小之物,針尖,精確地找到,准確地轟炸,強調,針尖的,極微的,精確的"
pious--0,"虔誠的,盡責的,字根,虔誠"
pithy--0,"講話或文章,簡練有力的,反,冗長的,詳細的,冗長的,羅嗦的,不堅固的,脆弱的,多言的,冗長的,累贅的話,簡練的話"
pitiless,"記,可憐,參,令人同情的,毫無同情心的,反,和藹的,仁慈的,無情的"
pittance,"配給的食物,施捨少量的錢,少量"
plain--0,"明白的,平易的,樸素的,平常的,清晰的平原,曠野"
plangent,"記,計劃,讀震他,我們計劃用地震震金毛獅王,他就會發出轟鳴的聲音,轟鳴的,響亮而有回聲的,反,聲音壓抑的,轟鳴的,淒切的"
plankton,"記源于,植物,浮游生物就是一種植物,海上的,浮游生物,大量水藻和原生動物,為魚類提供食物,參,木板,厚板,浮游生物"
platform,"平臺,臺,講臺,戲臺,鐵路等的,月臺,美,火車,電車上的,乘客上下平臺,政黨等的,黨綱,政綱,宣言,把,放在臺上,在臺上,演講"
platonic,"理論的,純精神上的,純友誼的,沒有感官性欲的"
pleading,"辯護,答辯,訴狀,訴願的,懇求的"
pleasing,"令人喜愛的,愉快的,舒適的"
pleasure,"愉快,快樂,樂事,樂趣,意志,愿望"
plebeian,"記原指古羅馬的普通公民,屬于較低階層的一員,是庸俗或粗俗的人,背,一個請背一塊大磚頭,平民,平民,平民的,粗俗的,平民,庶民,平民的,卑俗的"
polarity,"有兩極,磁性引力,極性,傾向,截然相反"
polished,"磨光的,擦亮的,完美的,精良的,優雅的,使光滑,擦亮,的過去式和過去分詞"
pollster,"記,民意調查,人,民意測驗家,民意測驗家,整理民意測驗結果的人,根,頭,點人頭,投票,類,鼓吹者善于鼓吹民意測驗家善于拉選票,民意測驗專家,整理民意測驗結果的人"
populace,"平民,大眾,一些研究顯示從事核能工業的工人比一般人易患癌症"
populous,"人口眾多的,人口稠密的"
posit--0,"確實的,明確的,積極的,肯定的,正的,陽性的,完全的十足的正片"
position,"位置,地位,身分,形勢,姿勢,立場,職位,狀態,陣地,安置,決定,的位置"
positive,"確實的,明確的,積極的,肯定的,正的,陽性的,完全的十足的正片"
possible,"可能的,潛在的,合理的可能性,可能的事物"
possibly,"副詞,也許,可能"
postpone,"延遲,使延期,緩辦,擱延,延緩發作"
potation,"飲,喝,飲料,尤指酒"
pounding,"猛擊,重擊聲,不斷重擊,心跳徹底擊敗,連遭轟擊"
powerful,"強而有力的,強大的,有權威的"
practice,"實踐,練習,實行,慣例,習慣,開業,實踐,實行,練習,實習,開業"
pre-empt,"先佔有,先取得,事先,拿"
preamble,"書,演講,前言,序言,事情的先兆"
precedes,"順序,位置或時間上,處在,之前"
predator,捕食其他動物的動物
predicts,預測
pregnant,"懷孕的,重要的,富有意義的,孕育的"
premiere,"初次公演,初演主角,初次的演出,突出的,杰出的"
presages,NotFoundAnyMeanings
pressing,"緊迫的,緊急的,切實的壓,榨,沖壓,唱片"
pressure,"壓,榨,按,強制,壓力,壓迫,壓強,迫使,使增壓,密封"
prestige,"聲望,威信類使名聲下降降低聲望削弱使衰弱降低精力降低特權潑冷水降低熱情減少長度"
pretense,"虛假,偽裝,自大,優越感"
prevents,防止
previous,"早先的,前面的,過急的,早先,前面"
priority,"優先級優先權,優先順序,優先,前,依次"
probable,"有希望的候選人,可能的事情,很可能的,大概的,象真實的"
proceeds,"買賣等的,收入,收益"
produced,畸形地伸長的
progress,"前進,進步,進展,前進,進步,進展"
prohibit,"禁止,阻止,不准許"
prolific,"多產的,多結果的反,不生育的,貧瘠的"
prologue,"記,前面,話,前面說的話,開場白,開場白,序幕,介紹戲劇而背誦的詩,類,小說的前言法律的序言,反,結束語,收場白,序言"
prophecy,"記,前,語言,前面的語言,預言,預言,參,預防疾病的,避孕工具,類,良師指導預言者預言,預言,預言能力"
prophesy,"先,預言,先知,預言家"
proposal,"名詞,提議,計劃,提案"
protests,"抗議,反對"
protocol,"協議草案,禮儀,擬定,為使網絡中不同系統主機能夠彼此進行通訊,所制訂的網絡管理規則"
provoked,"被激怒的類進攻成功是被征服的刺激成功是被激起的,勸解"
prudence,"謹慎小心,節儉類謹慎的人小心優雅的人文雅蠻勇的人不會謹慎傻子不會聰明反,謹慎的,精明的,傻的"
publicly,"公開地,公然地"
pugilism,"拳擊,搏擊"
pugilist,"拳擊手,拳師"
puissant,"有影響力的,強大的,強壯的,強而有力的"
purchase,"購買,購買品,價值,緊握,起重裝置,購買,贏得,努力取得,舉起"
purposes,"目的,意圖"
pursuing,追求
quandary,"窘境,困惑,左右為難"
quantity,"量,數量,分量,大量,大宗"
quarrels,爭吵
quell--0,"製止,用武力鎮壓類冷酷無情的不能被打動鎮壓不住的不能被鎮壓反,激起"
query--0,"動詞,詢問,對,表示疑問,名詞,質問,詢問"
quest--0,"探索,尋求,調查,尋找,找,追尋獵物"
question,"詢問,審問,懷疑詢問問題,疑問,疑問句"
quisling,"記源自維德孔奎西林,納粹時期挪威政府的頭子,讀快死靈,一種滅蟑螂的藥,專門殺賣國賊,在敵人占領國土期間充當傀儡的,賣國賊,類,摧毀性力量毀滅賣國賊背叛,賣國賊"
radiance,"光輝,閃爍,容光煥發"
rainfall,"名詞,降雨,下雨,降雨量"
rally--0,"重振旗鼓,集合,示威運動,價格回穩,重整旗鼓,集合,恢復精神,團結"
rarefied,"稀薄的,精選的,變精細的,崇高的,高尚的,深遠的"
reactant,"記源于,起反應,反應物,從一開始就參加反應並直接反應的物質,反,惰性物質,反應物"
reaction,"反應,反作用,反饋,反動,影響"
rebuttal,"舉反例,反駁,抗辯"
recently,"不久前,最近"
recourse,"求助,依靠例,他唯一的求助對象是警察"
redirect,"記,重新,指引,導演,改寄,改寫地址再寄信件,信件,重寄,使改道,使改變方向"
redolent,"散發出,強烈氣味的,尤指氣味使人聯想起,的,這張專輯唱出了人們的心聲,將人們帶回到沒有收音機和電視的時代"
refinery,"提煉廠,提煉石油或糖等原料的工廠,類,精煉廠加工石油磨房加工谷物,精煉廠"
regal--0,"君主的,皇家的,属于君主的,适合君主的,豪华的"
regulate,"有系統的管理,規定,調節,調整,使整齊"
rehearse,"預演,排演,使排練,練習,背誦,復述,排練,練習,演習"
rejected,拒絕
relating,"與,有關"
relation,"關係,關聯,國家,團體,人等之間的,關係,往來,血緣關係,親戚關係,親戚,親屬,婉肉體關係,律,導致起訴的,告發,敘述,敘述的事,故事"
relegate,"命令撤離,驅逐,使降低地位,把,歸類,把,委託給"
relevant,"相關的,舉起來,一直提到,相關,解,注意解釋裡,與,相關,的用法,這裡"
reliance,"依賴,依靠,信心,信賴,信任"
relieved,"形容詞,放心的,寬慰的"
relieves,NotFoundAnyMeanings
religion,"宗教,信仰,信念,關心的事"
remedial,"治療的,矯正的,補救的"
reminder,"名詞,提醒者,提醒物,催函"
renegade,"背教者,變節者,脫黨者,背棄的,脫離的,叛徒的,背叛,背棄,脫離"
renewing,整新
renounce,"正式,放棄,如頭銜,斷絕關系參,公開指責,宣言,發音,表達,類背棄誓言廢除命令反,要求,聲稱擁有,擁抱,信奉"
renovate,"修復,維修,使重獲新生,使煥然一新"
repartee,"記,反,部分,反駁的部分,巧妙的回答,為了反駁,巧妙的回答,類,巧妙回答為了反駁爭論為了進行辯護,巧妙的應答,巧妙應答之才能"
repeated,"形容詞,重複的,反覆的,再三的,屢次的"
reported,據報告的據報導的據傳聞的
reprieve,"緩刑,緩刑,暫時解救,從危險或痛楚中暫時解救,類緩刑暫緩刑罰延期暫緩行動"
reprisal,"政治或軍事的,報複,用武力對敵方物品的掠奪,區,樂曲的重複"
required,"必须的,美学科必修的,要求,的过去式和过去分词,需要,想要,命令"
requires,要求
resident,"形容詞,居住的,定居的,常駐的,名詞,居民,住院醫生"
residual,"殘渣的,剩餘的殘渣,剩餘,餘數"
resigned,"認命的,服從的,聽任的,已放棄的"
resolute,"果斷的人,堅決的,剛毅的,毅然的"
resolves,NotFoundAnyMeanings
response,"應答反應,回答,響應"
restless,"得不到休息的,不平靜的,不安定的,煩躁的"
restored,"記源于,恢複,重建,恢複的,參,有助于複元的,滋補劑,反,毀壞的,荒廢的"
restrict,"限制,限定,數量,尺寸,範圍等"
retainer,"名,雇員,再次握住做,的人,名詞再次握住工作機會的人"
reticent,"沉默不語的,傾向于保留某人的想法,感情及個人事務的,類沉默的不說話節製的不貪食小氣的不花費反,多"
retiring,"離群索居的,害羞而寡言保守的"
retrieve,"取回,挽回,彌補,恢復,補償,回憶,找回獵物取回,恢復的希望"
revealed,"顯示,透露,顯示,透露"
rhetoric,"話術,解,話術,原指,有效,能說服人的表達方式,但常用於負面,華麗的,例"
rhythmic,"形容詞,有節奏的,有韻律的"
richness,"富裕,豐富,肥沃"
ridicule,"嘲笑,愚弄,笑柄,嘲笑,嘲弄,愚弄"
riveting,"有吸引力的,引人入勝的,記法河濱公園總是很吸引人的"
romantic,"浪漫的,風流的,傳奇性的,誇大的,想象的,浪漫派的"
rosiness,NotFoundAnyMeanings
rosy-red,NotFoundAnyMeanings
rubicund,"透紅的,紅潤的"
rudeness,"粗野,無禮,粗陋,未加工"
ruminant,"反芻類的,沈思的,默想的反芻動物"
ruminate,"沉思,反复考虑,反刍,倒嚼"
ruthless,"無情的,殘忍的,毫不留情的"
sabotage,"陰謀破壞,顛覆活動,尤指摧毀對方武器,裝備或挫敗對方計畫"
saboteur,"從事破壞活動者,怠工者"
sameness,"相同,同樣,酷似"
sanctify,"使神聖,將,敬為神"
sanction,"核准,處罰,約束力,制定制裁規則,認可,核准,同意"
sanguine,"血紅色的,滿懷希望的,指望的血紅色,紅臘筆,以血沾汙,血染"
sanitary,"衛生的,清潔的公共廁所"
sapphire,"青石,藍寶石,天藍色的"
sardonic,"嘲笑的,冷笑的,譏諷的"
satiated,"飽足的,厭膩的,類,食物過多導致飽足的潮濕度過高導致濕透的"
saturate,"使飽和,使滲透,浸透,使充滿,浸透的,飽度高的,深顏色的"
scabbard,"記,傷疤,馬的鎧甲,和,都是硬的,可作鞘,死,出租車,死在車裡的鳥就像插在鞘裡的劍,匕首或劍的,鞘,參,粗糙的,有傷疤的,類,匕首放在刀鞘裡手槍放在槍套裡,鞘,插入鞘中"
scaffold,"記,折疊,折疊在一起的鐵棍搭的架子,腳手架,腳手架,造房時搭的架子,工人可在高處站或坐在上面工作,建,腳手架,絞刑台"
scalding,燙傷般的
scarcely,"缺乏的,不足的,的衍生的副詞,副詞,幾乎不,幾乎沒有"
scarcity,"缺乏,不足,短缺"
scenario,"場景,可能發生的事態"
scene--0,"場,景,情景,鏡頭,發生地點,道具,佈景,景色"
schedule,"動詞,安排,將,列入計畫或時間表,名詞,清單,目錄,時間表,課程表"
scheming,"惯耍阴谋的,诡计多端的"
scission,"記,切,參,剪刀,植物的,切斷,反,統一,切斷,分開,分離,分裂"
scolding,"斥責,訓斥,責罵"
scooping,舀
score--0,"得分,分數,二十,點,方面,理由,根據,獲得,得,記,的分數,得分"
scornful,"形容詞,輕蔑的,嘲笑的"
scorpion,"記讀死搞屁,能用屁股搞死你的動物,蠍子,蠍子,一種節肢動物,有一個直立帶毒刺的尾巴,黑心的人,動蠍子,心黑的人,蠍子鞭,俚直布羅陀人"
scramble,"攀緣,爬行,搶奪,混亂,緊急起飛,攀緣,雜亂蔓延,爭奪,拼湊"
scrap--0,"碎片,殘餘物,些微,片斷,鐵屑,吵架,扔棄,敲碎"
scraping,"擦去,抹去,削去,刮擦聲,碎屑,刮擦的,吝嗇的"
scribble,"潦草的,涂鴉的,毫無意義的,亂寫,亂涂類亂寫不是書法打油詩不是十四行詩亂說和說亂寫和寫笨拙的修補和調整,得分,樂譜,抓痕,二十,終點線,刻痕,帳目,起跑線,把,記下,刻划,划線,獲得,評價,記分,刻痕,得分"
scrutiny,"細看,仔細檢查,監視,選票的復查"
sculptor,"雕刻師,雕刻家"
seasoned,"形容詞,經驗豐富的,調過味的"
secluded,"與世隔絕的,僻靜的"
secretly,"秘密地,背地裡"
securely,"繩結等,牢固地,穩固地"
security,"安全,安全性,防護物,保衛,可靠性,擔保人,抵押品,保証金"
sediment,"沈澱物,沈渣,瓶子底部有褐色的沈澱物"
sedulity,"記,坐,總是坐著看書,勤奮,勤奮,勤勉,反,缺乏勤奮,勤勉,勤奮"
sedulous,"勤勉的,謹慎而持之以恆的反,粗心的,疏忽的,懶惰的"
seedling,"記,種子,小,小苗,幼苗,幼苗,參,多種子的,襤褸的,秧苗,樹苗"
semantic,"形容詞,語義的,語義學的"
seminary,"記,種子,地方,培養上帝種子的地方,神學院,神學院,培訓神父,教師,或猶太教教士,參,研究會,類,神學家在神學院培養藝術家在音樂學院培養,音樂學院研究音樂神學院研究神學氣象台研究天文學,神學院,學校,學院,發源地"
sentient,"有感覺力的,有感情的,感覺靈敏的,意識到的,有知覺力的人"
sentinel,"記,感覺,要提高感覺的人,哨兵,哨兵,衛兵,參,哨兵,類,衛兵的特點是警戒的美食家的特點是有識別力的,哨兵"
separate,"分開,抽印本,分開的,各別的,單獨的,分隔的,靈魂的,分開,隔開"
sequence,"順序,連續,次序,按順序排好順序,序列,繼起的事"
seraphic,"記,撒拉帶佛,九級天使中的一等天使,有三對翅膀的熾愛天使,天使般的,美麗的,反,惡魔的,純潔的,六翼天使的,天使一般的"
serrated,"記,鋸,鋸齒狀的,呈鋸齒狀的,參,密集的,反,無刻痕的,平滑的,鋸齒狀的,有鋸齒的"
sever--0,"分离或分开,切制,分离断决例如,关系,切开切开或打开,分开相互分开或分离"
severely,"嚴厲地,猛烈地"
severity,"嚴肅,懲罰,嚴重,類,繁榮的和繁榮嚴峻的和嚴峻,嚴肅,嚴格,嚴重,激烈"
sexually,"有性地,在性方面"
shambles,"記,屎,尸,漫步,屎,尸體,在漫步,混亂,完全混亂或毀壞的,凌亂景象,雜亂無章,肉店,市,屠宰場,混亂的地方,廢墟"
shameful,"可耻的,丢脸的,不体面的"
shavings,"記,刮,刨,刨花,木頭或金屬的,刨花"
shelters,"遮蓋物,躲避處,避難所"
shinning,"解脛,昆蟲的脛節"
shirking,NotFoundAnyMeanings
