abandon,"動詞,放棄,名詞,放縱,放任"
inarticulately,口齒不清
inasmuch,"因,之故,因為"
inaugural--0,"就任的,就職的,開始的就職演講"
inaugurate,"舉行就職,或落成,典禮,開始"
inborn,"記,進入,出生,與生俱來的,天生固有的,天生固有的,天賦的,遺傳的,繼承的,類,地區是地方的個人是天生的,天生的,生來的,先天的"
incandescence,"白熱,白熱光,進入光進入發光狀態"
incandescent,"記,進入,白熱,開始,的,開始發熱的,發白熱光的,發白熱光的,由于遇熱而發出可見光的,白熱化的,參,無偏見的,坦白率直的,白熱,反,呆滯的,陰暗的,遇熱發光的,白熾的"
incantation,"記,黑話,讀砍他,作為詞根,唱,達到進去砍他的效果,念咒語,咒語,產生魔力的效果,口頭禪,未經考慮或不恰當的且經常重複的習慣說話方式,類,護身符是一種物品咒語是一種話,咒語"
incapable,"記,有能力的,無能力,不能勝任的,無能的,無能力的,不能的"
incarcerate--0,"把,關進監獄,監禁,幽閉"
incarnadine,英卡那丁
incarnate,"體現,使具體化,使實體化,化身的,實體化的,肉色的,深紅色的"
incendiary,"放火的,縱火的,導致著火的,煽動的類叛亂的叛亂煽動的煽動"
incense--0,"香,香氣,奉承,焚香,用香焚,使發怒,被激怒的"
incentive--0,"刺激,鼓勵,記法,使,唱,使人唱"
incentives,"刺激,鼓勵,動機"
inception,"開始,開端,起初,使拿開始拿"
incessant,"不停地,連續的,連續不斷的,類,反,偶爾發生的"
inch,"英寸,寸,身高,身材,使緩慢移動,緩慢地移動"
inchoate--0,"未成熟的,起初的,開頭,用法,牛軛,把牛軛放到牛上,開始,耕田"
incidence,"影響範圍,發生,影響,入射,傾角"
incinerate--0,"燒成灰,燒棄,灰化,焚化"
incipient--0,"初期的,開始的,類,不成熟的還沒有完全發展未成形的還沒有完全實現,未成形的不是完全實現的切實的不是不確定的垂死的死的"
incise,"雕刻,切入,刻,切"
incision,"外科手術時的,切口,切割,參,切割,雕刻,切,簡明的,簡練的,反,縫合,切割,切開,切口"
incisive--0,"敏銳的,機敏的,激烈的,切入的,鋒利的"
incite,"刺激,煽動參,刺激,使興奮,背誦,朗讀,類煽動者煽動欺凌弱小者威脅勸告為了激發挖苦為了刺激反,使平靜,安慰,撫慰"
incites,煽動
inciting,"激勵,激起,煽動"
inclement,"天氣,嚴酷的,狂風暴雨的,嚴厲的,冷酷無情的,類,嚴峻的對嚴酷煩惱對煩惱,嚴酷導致逃避,反,芳香的,溫和的,溫和的,溫柔的"
inclination,"愛好,癖好,意向傾向,趨向,趨勢傾斜,彎腰,曲身,點頭斜坡,斜面"
inclinations,傾向
incline,"傾斜,斜坡,斜面,使傾向於,使傾斜,傾向,傾斜,愛好,易於"
inclined,"倾斜的,倾向的,使倾斜,的过去式和过去分词,使偏向"
include,"包住,關住,包括,包含"
includes,包含
including,"包含,的現在分詞,介系詞,包括"
inclusive,"包括的,包罗广泛的,包括,的,一切开支包括在内的,语言使用上不分男女的"
incogitant,"記,思考,考慮,讀考,需要思考,無思想的,未經思考的,考慮不周的,類,無思想的不深思不安的不安靜,無思慮的,粗心的"
incoherently,無條理地
incommensurate--0,"記,相稱的,相當的,測定,測量,不能測量的,不相稱的,不充分的,不相稱的,不適應的"
incompatible,"性質相反的,矛盾的,不調和的"
incompetent,"無能力的,無力的,不適當的,不勝任的無能力者"
incomplete,"形容詞,不完全的,不完整的"
incongruent,"不一致的,記,一致的,適合的,適合的,不和諧的,類,不和諧的不會使一致反抗的不會順從分散的不會重疊"
incongruity,"不一致,不協調,不相稱"
incongruous--0,"不協調的,不和諧的,不一致的,不相稱的"
inconseguential,毫不含糊的
inconsequential,"不合邏輯的,不合理的,不重要的"
inconsiderate,"不顧別人的,無謀的,無分別的"
inconsistency,"記,連結,一致性,連貫性,共同,站立,一致,前后不一致,矛盾,矛盾"
inconsistent--0,"不一致的,忽好忽壞的,變化不定的,不合理的,矛盾的"
inconstancy,"記,堅定不移,恆久不變,始終,站立,始終站著,堅定不移,指人或情況,反複無常,善變,反,堅持,持續,穩定性,穩定,反復無常"
inconstant,"易變的,不定的,無節操的,反復無常的"
incontrovertible,"無可爭議的,無疑的,明白的"
incorporate,"合併的,公司組織的,一體化的,合併,使組成公司,具體表現,合併,混合"
incorrect,"不正確的,錯誤的"
incorrigibility,"無可救藥,難以糾正,反,溫順,易處理,難望矯正"
incorrigible,"積習難改的,難以控製的類難以糾正的無法被糾正難以理解的無法被理解無可救藥的無法改正不能根除的無法移動反,易駕"
incorruptible,"記,腐敗的,貪污的,使腐爛,墮落,道德上,不易被腐蝕的,正直不墮落的,反,貪污的,不易敗的,不被買的,清廉的"
increase,"增加,增進,利益,增加,加大,增加,繁殖"
incredulity,"不輕信,不相信,懷疑,記,輕信"
increment--0,"記,增加,數目,大小,數量或范圍,增值,增加,參,自然增長,內分泌,激素,增加,增量"
incriminate,"連累,牽連,反,免除,証明無罪"
incriminating,顯示有罪的
incubate--0,"抱,孵,培養,使發展,孵蛋,築巢,孵化,醞釀成熟"
incubation,"孵卵期,潛伏期,字根睡"
incubator,"孵育器,可以控製溫度和濕度,用于細菌培養,人工孵卵等,早產嬰兒保育箱,溫床,鼓勵新想法產生發展的地方,類溫室中培養植物保育箱中培養嬰兒"
incubus,"惡夢,夢魘般的精神壓力,負擔"
inculcate,"反複灌輸,諄諄教誨,通過不斷的說明或重複來教育別人,參,培養,耕作"
inculpate,"記,使,錯,罪,連累,某人,受罪,連累,某人,受罪,控告,參,犯人,反,証明無罪,宣布免除,開脫,使,有罪,控告"
incumbent--0,"憑依的,依靠的,負有義務的領聖職的俸祿的牧師,在職者"
incur--0,"招致,惹起,帶來,遭受"
incursion--0,"記,進入,跑,跑進外國領土,入侵,侵犯,入侵,外國領土,反,撤退,退卻,襲擊,侵入"
indebted,"受惠的,感激的,負債的"
indecent,"形容詞,下流的,猥褻的,粗鄙的"
indecipherable,"記,密碼,無法破譯的,類,無法破譯的不能被破譯難于控製的不能被控製,破譯不出的,難辨認的"
indecisive,"非決定性的,猶豫不決的,不明確的"
indecisively,猶豫不決地
indecison,無法決定
indecorous,"無禮的,不合禮節的,不莊重的"
indefatigable,"不倦的,不屈不撓的不疲倦,堅持不懈"
indefinite,"形容詞,不確定的,無限期的,無定數的"
indefinitely,"不確定地,不清楚地,無限期地"
indelible,"不能消除的,不能拭除的,難忘的"
indemnify--0,"投保,賠償,保護,保障"
indemnity,"名,保證物,賠償物,賠款,補償,保證"
indent,"切割成鋸齒狀,記,使成為,凹陷牙,使凹陷鋸齒狀,牙齒是鋸齒狀"
indenture,"規定一方須為另一方服務一定時期的,契約,合同"
independence,"獨立,自主,足夠維持生活的收入,為做索引,做索引"
independent,"獨立的,自治的,自主的,單獨的,分開的,無黨派的,獨立自主的人"
indeterminate--0,"不確的,不確定的,含混的"
indicate,"顯示,象徵,指示,指出"
indicated,"表明的,指示"
indicating,說明
indication,"指示,表示象徵,跡象"
indicative,"形容詞,指示的,表示的,名詞,直說法"
indicator,"儀器上顯示溫度,壓力,耗油量等的,指標,指示器,記錄器,車輛上的,轉彎指示燈指示物,指示者"
indices,"的複數,例,索引,指數,編入索引中,的復數"
indict--0,"法控告,起诉,告发"
indifference,"名詞,漠不關心,無關緊要"
indifferent--0,"不關心的,冷淡的,不感興趣的,無關緊要的,不在乎的"
indigence,"貧乏,窮困"
indigenous--0,"土生土長的生來的,固有的"
indigent--0,"貧窮的,缺衣少食的,缺乏的,區,是以,結尾,表示多,不可能是,的意思,類,窮困的不是富有多余的不是不可缺少,反,富裕的,豐富的"
indigestion,"消化不良,不瞭解"
indignant--0,"形容詞,憤怒的,憤慨的"
indignation,"名詞,憤怒,憤慨,義憤"
indignity,"侮辱,輕蔑,記,不,尊嚴,不被尊重,侮辱"
indirect--0,"間接的,次要的,欺騙的,迂迴的,曲折的"
indirectly,"間接地,迂回地,婉轉地,不坦率地"
indiscernible,"無法分辨的,記,不,分開,弄清楚,無法弄清楚區別無法識別,字根,區別,搞清楚"
indiscreet--0,"無分別的,輕率的,欠慎重的"
indispensability,"記,不是必要的,可有可無的,不可缺少的,絕對必要的,不可缺少,類,窮困的不是富有多余的不是不可缺少,反,微不足道的,不可缺少"
indispensable--0,"不可缺少之物,不可缺少的,不能避免的,絕對必要的"
indistinct,"不清楚的,模糊的,微弱的"
indistinctly,"不明了地,朦朧地"
individual,"個人的,個體的,單獨的,獨特的個人,個體,人"
individualist,"個人主義者,利己主義者,個人主義的"
individuality,"個性,個人或個體的特徵"
individuals,"指與眾不同或特别的,人"
indoctrinate,"教導,灌輸思想,記,進入,教條,教學,把自己的意見灌輸給學生教導,灌輸"
indolence,"懶惰,不積極,惰性,懶惰的"
indolent--0,"習慣性懶惰的參,哀悼,吊唁,類正直不犯罪懶惰不勤奮鋒利不鈍的"
indubitable,"可疑的,無庸置疑的,可疑的"
induce--0,"導致,誘導,歸納出"
inducement,"記,勸誘,促使,引起,根,引導,引誘物,動機,幫助實現目標或實施行動的事物,區,引帶她,作詩,作曲,控告,指控,反,威懾,威懾物,誘導,誘因,動機,刺激物"
induces,"引起,誘發"
inducing,"感應,引導"
induct,"記,裡面,引導,引入一種組織裡面,使就職,使就職,以儀式或正規的形式就任某個職位,吸收,為會員,征召入伍,參,高架橋,高架鐵路,感應"
induction--0,"入門,入會,入伍,歸納法"
indulge,"動詞,沈迷於,滿足,慾望等,縱容"
indulgence,"沉溺,放縱,巧克力是我唯一的嗜好"
indulgent--0,"放縱的,采取俊,容放縱行為的,反,嚴格執行紀律的人,放縱者,苦行的,嚴峻的,節儉的"
indulging,"沈迷於,滿足,慾望等"
indurate,"鐵石心腸的,冷酷無情的,使變硬,使習慣於,如艱苦或尷尬之境況"
industrious--0,"形,勤勉的,努力的,進入建造,性質的,形容詞一直在內建造的"
ineffable,"無法形容的,說不出的,不應說出的,避諱的"
ineffective,"記,有效的,效果,作,不起作用的,不能達到預期效果的,參,無效力的,無用的,作,無效的,指人,工作效率低的"
ineffectual,"无效的,不起作用的,徒劳无益的,无用的人,无一技之长者"
inelasticity,"無彈性,無伸縮性,反,彈回,有彈力,無伸縮性"
ineluctable,"無法改變的,逃避,例,命運"
inept--0,"不適當的,無能的,笨拙的"
ineptitude--0,"記,無能的,不稱職的,聰明能干的,無能,愚蠢的言行,不稱職,反,傾向,愛好,才能,手腕,靈巧,手段,愚笨無能的,明智的,精通的,技術精湛的,不稱職"
inequity,"記,公平,公正,相等的,不公正,不公平,類,教育消除文盲重新分配消除不公平,不公平,不公正"
inert--0,"惰性的,遲鈍的,無活力的,呆滯的"
inertia,"同,缺乏活力,惰性,官僚主義的惰性扼殺了這個組織"
inertness--0,惰性
inevitable--0,"不可避免的,無法回避的,照例必有的"
inexhaustible,"記,用盡,使精疲力盡,取之不盡的,不知疲倦的,無窮無盡的"
inexorable--0,"不為所動的,堅決不變的,記法,不,出,說,說不動"
inexpensive,"形容詞,花費不多的,價錢低廉的"
inexperienced,"形,經驗不足的,生澀的,沒有經驗,的,形容詞沒有經驗的"
inexplicable,"無法說明的,難以理解的,莫名其妙的"
inf,感染科
infallibility,"無錯誤,無過失,性"
infallible,"沒有錯誤的,確實可靠的,一貫正確的人"
infamous,"聲名狼藉的,臭名昭著的,罪大惡極的"
infant,"嬰兒,幼兒,未成年者,嬰兒的,未成年的"
infantile,"貶,幼稚的,孩子氣的,尤指大孩子或成人"
infantry,"記,嬰兒,試圖在大腦中呈現出日本步兵用刺刀試圖挑出我國女人腹中嬰兒的場景,步兵,步兵,步兵部隊,集合名稱,步兵,步兵團"
infatuate,"使迷戀,使糊塗,著迷的迷戀者"
infatuation,"記,昏頭昏腦的,入迷的,愚昧的,胖人給人一種愚蠢的感覺,愚蠢的,非理性的或過分的,迷戀,令人痴迷之物,類,休假的給人假期討人歡喜的使人迷戀,反,憎惡,厭惡,愚蠢,糊涂,醉心"
infection,"傳染,影響,傳染病"
infectious,"形容詞,傳染的,有感染力的"
infelicitous--0,"不幸的,不愉快的,評論,語句等,不恰當的反,快樂的,高興的,恰當的"
infelicity--0,"不幸,不合適,反,適當,不吉利,不幸,不合適"
infer--0,"推論,推斷,意味著,作出推論,能由,推導出的"
inference,"推論,推理,推斷推斷結果,結論"
inferior,"次等的,較低的,下方的,下級的低下的人,次品,下附文字"
inferiority,"粗劣,差勁,低層的,劣化"
inferno,"記,推斷,推斷的結果是,因為前面是大火,縱是有一萬個仙女也不要進去,必死無疑,令我非常敬佩的,的消防隊員和警察們就是了,結果大多沒有生還,熊熊大火,源于,下等的,下級的,劣等的,地獄,熊熊大火,地獄,一種邊緣燃燒著大火的地方,人類在那裡蒙受痛苦或死亡,參,陰間的,惡魔的,類,陰間,地獄"
infest,"大批滋生,大批出沒於,侵擾,騷擾,寄生於"
infiltrate,"潛入,偷偷將軍隊遣入敵區,水或氣體,滲透,滲入類滲透是不知不覺進入暗示是不知不覺說出陰謀是秘密計劃暗中追蹤是秘密跟隨"
infinite--0,"無限的,無窮的,無數的,極多的,非限定的,無窮的無限物,無窮"
infinitesimal,"極小的,極微的,無限小的極小量,極微量,無限小"
infinity,"無限的空間,時間或數量,反,有限空間,無限,無窮大"
infirm,"記,公司,結實的,堅固的,虛弱,缺點,衰老體弱的,意志不堅的,不堅固的,反,強壯的,老人矍鑠的,弱的,不堅固的,柔弱的"
infirmity,"虛弱,病身,疾病"
inflame,"記,火焰,熱情,激情,發炎的,紅腫的,激起,強烈的感情,如憤怒,使,組織或器官,發炎,點燃,參,易燃的,易怒的,反,緩和,鎮定,征服,燃燒"
inflamed,"發炎的,被激怒的"
inflaming,發紅
inflammation--0,"點火,發炎,表現為疼痛,紅腫,有時喪失功能,激怒,反,緩和,怒火,發火,燃燒,醫炎症,發炎"
inflate--0,"使膨脹,使得意,使通貨膨脹,使充氣,充氣,膨脹"
inflated,"價格,飛漲的,通貨,膨脹的言過其實的,誇大的,華而不實的充了氣的"
inflexible,"不可彎曲的,剛硬的,不屈不撓的,堅定的,執拗的,不可改變的"
inflict--0,"加以,打擊等,使受,痛苦,損失等"
influence,"影響,感化,勢力,權勢,有影響的人,影響,感化"
influenced,"影響,感化,勢力,權勢,有影響的人,影響,感化"
influences,"影響,作用"
influential,"有影響的,有權勢的,有影響力的人物"
influx,"注入,涌入,大量到來或大量抵達,反,大批離去"
inform--0,"告訴,通知,使充滿,告發,告密"
informal,"形,非正式的,不格式,的,形容詞不符合格式的"
information,"資訊,起訴資訊,消息,知識,報告,通知,情報"
informed--0,"見多識廣的,消息靈通的"
infraction--0,"違規行為,違法行為,任何影響法官執法的企圖都將被看作是違法行為"
infrastructure--0,"名詞,公共建設,如鐵路,公路等"
infringe,"因為超越或超過限製,違反,侵害,合同,權利等"
infuriate,"灌輸,使,充滿,鼓舞"
infuse--0,"注入,泡出味道,鼓舞,泡,注"
ing,"構成動詞現在分詞,如,我在寫"
ingenious--0,"機靈的,有獨創性的,精製的,具有創造才能"
ingenuity--0,"心靈手巧,獨創性,足智多謀"
ingenuous--0,"純真無邪的,缺乏老練的,率直坦白的類懶散的沒有雄心無瑕疵的沒有瑕疵單純的沒有詭計天真的不掩飾粗俗的不打扮禮貌的不冷落"
ingest--0,"咽下,吞下參,擁塞,充血,消化,反,驅逐,發射,吐出,嘔吐,排泄,燃燒"
ingestion--0,"攝取,吸收,食物,容納"
ingrained,"記原指深嵌入紡織品纖維的,進入,谷物,木頭的紋理,入木三分,根深蒂固的,偏見,習慣等,根深蒂固的,反,容易改變的,外在的,外來的,徹底的,根深蒂固的,生染的"
ingrate--0,"記,不,使人高興的,感謝的,忘恩負義的人,忘恩負義的人,參,忘恩負義,反,感恩者,忘恩負義者,不知恩的,忘恩的"
ingratiate--0,"逢迎,討好,使自己獲得別人的歡心或恩惠,類偽裝是為了欺騙諂媚是為了逢迎,討好為了得到別人的好感虛偽為了欺騙"
ingratiating--0,"討好的,諂媚的,記法,加強語氣,感激,不停感激的諂媚討好的"
ingredient,"尤指烹調用的,成分,材料"
ingredients,"配料,成份"
ingénue,天真無邪的少女
inhabit,"動詞,居住於,棲息於"
inhabitant--0,"某地區的,居民,居住者"
inhale,"記,裡面,呼吸,吸氣,吸氣,參,呼氣,發散,強壯的,老人矍鑠的,呼吸得好,吸入,吸氣"
inharmonious,"不合諧的,不和睦的"
inherent,"內在的,固有的,與生俱來的"
inherit,"繼承,經遺傳而得,接受遺產"
inheritance,"名繼承,繼承權,繼承物,遺產"
inhibit--0,"抑製,約束區,在別人的家裡,就會受到,根,拿,羞怯的,拘謹的,因為受到約束參,展覽,禁止,阻止,反,煽動,激起,催化,促進"
inhibited--0,"拘謹的,羞怯的,綁手綁腳的"
inhibitor,"抑製劑,可減緩或停止化學反應的物質,反,催化劑,化抑制劑,抑制者"
inhumane--0,"記,仁慈的,不人道的,沒有同情或憐憫的,殘忍的"
inimical--0,"敵意的,源,的反義是,解,從,加,否定而來來,無法模仿的,字形相像,不要混淆,無法模仿的,是一正面字,表示太獨特,以至於無人能比"
inimitable--0,"記,模仿,仿效,無法模仿的,不可比擬的,類,不容置疑的不能懷疑無法模仿的不能模仿,反,普通的,普通的,無法模仿的,獨特的,無比的"
iniquitous--0,"極其錯誤的,極不公正的,付不起醫藥費就可置人生死於不顧,這是極其不公的制度"
iniquity,"記,不,平等的,不公正的,邪惡不公正之舉,參,不公正的,邪惡的,反,正直,公正,清廉,公正無私,不公正"
initial,"形容詞,開始的,最初的,動詞,簽姓名的首字母於,草簽,名詞,字的,起首字母"
initiate,"形容詞,新加入的,動詞,創始,初學,通過儀式,接納新成員,名詞,初學者,新加入者"
initiation,"名詞,開始,創始,開始實施,入會,加入,入會儀式,傳授,啟蒙,入門"
initiative,"起始的,創始的,主動的主動性,主動精神"
injection,"注射,注射劑,針劑"
injudicious,"不明智的,缺乏判斷力的,不明智的言論"
injunction,"記,不,連接,匯合處,沒有和法律接軌,所以要實行禁止令,命令,禁止令,禁止一個黨派參加某個活動的法庭命令,參,吩咐,命令,囑咐,命令,指令,律禁令,法院強制被告從事或不得從事某項行為的正式命令"
injure,"動詞,傷害,損害,毀壞"
injured,"受傷的,受損害的,損傷感情的,損害,的過去式,傷害名譽,自尊等,尤指在事故中傷害,使受傷"
injurious,"有害的,致傷的,誹謗的,中傷的"
injuriously,有害地
injury,"損害,傷害的行為,受傷處"
injustice,"不公平,不公平的行為"
inkling,"記,墨水,小小墨水,如果在你的本子上總能發現小墨水,就會暗示你是一個粗心大意的人,輕微地暗示,略知,模糊概念,淺顯的理解,模糊的印象,類,暗示是小指示小錯是小錯誤,略知對知識小量對量,暗示,略微的提示,略知,模糊概念"
innate--0,"與生俱來的,天生的,固有的,字根,出生"
inner,"內部的,思想的,精神的內部,裏面"
innermost,"內心的,秘密的,最深處的"
innervate,"使受神经支配,使神经分布于,刺激活动"
innocence--0,"無罪,無知,天真無邪"
innocent,"清白的,天真的,單純的,無知的,頭腦簡單的,沒有,的天真無邪的人"
innocuos,無害的
innocuous--0,"行為,言論或藥品等,無害的,無毒的,參,不愉快的,引起反感的,類,安慰劑是無毒的油膏劑是油質的毒液是有毒的,反,有害的,尖刻的,有"
innovation,"名詞,革新,創新,新事物"
innovations,"創新,發明"
innovative--0,"創新的,革新的,新穎的"
innuendo,"記,裡面,細微差別,讀,盎司,在言語中能夠體會出細微的差別,含沙射影,含沙射影,暗諷,參,內長的,內生的,含沙射影地說,暗諷,的話,影射,的話,影射,旁敲側擊地表達,暗示"
inoculate--0,"接種,嫁接,接插芽,接木,接種"
inof,信息
inoffensive,"記,討厭的,攻擊性的,不冒犯人的,無害的,不反感的,無害的,不傷人的,不觸犯人的,讓人不討厭的"
inoperative,無法運作的
inordinate--0,"過度的,紊亂的,無法無天的,過分的"
inordinately,"過度地,格外地"
inquest,"審訊,訊問,驗屍"
inquire,"詢問,調查,問,打聽,調查"
inquiry,"詢問,探問,質詢,調查"
inquisitive--0,"想問的,想知道的,好追根究底的"
inroad,"記,在,路上,埋伏,來往的富戶,掙錢讀,惡意突襲,侵害,進展,襲擊"
insane,"形容詞,患,精神病的,瘋狂的,荒唐的"
insatiable,"不能滿足的,貪得無厭的類不知足的不能使滿足"
inscribe,"登記,銘記於,題寫,雕刻"
inscrutability,"不可理解,不可思議,不可測知"
inscrutable,"神秘難懂的,無法得知的,理解,不理解,難懂,神秘的"
insecticide,"記,卑鄙的人,昆虫,殺一殺虫劑,殺虫劑,參,自殺,殺虫劑"
insecure,"形容詞,不安全的,不穩定的,局促不安的"
insensate,"無知覺生命的,愚鈍不敏的"
insensible,"因為暫時昏迷等,無知覺的,類,使麻木導致無知覺的磨光導致有光澤的,無知覺的,無同情心的,硬心腸的,麻木不仁的"
insensitive,"麻木不仁的,對他人的感情缺乏敏感性,麻木的,類,易上當者是輕信的魯鈍的人是遲鈍的頑童是頑皮的,對,沒有感覺的,感覺遲鈍的"
insentient,"記,無,感覺一無感覺的,無生命的,無知覺的,無生命的,反,可感知的,無知覺的"
insert,"插入物,夾在報刊中的散頁廣告"
insider,"記,裡面,人,裡面的人,知情人,權威人士,組織,團體等,內部的會員,了解內幕者,知情人,內部的人,會員,知道內情的人,權威人士"
insidious--0,"隱藏詭計的,暗中為害的"
insight,"洞察力,深刻的理解"
insightful,"有見識的,有眼光的,顯出洞察力的"
insignia,"記源于,標記,符號,征候,職位,等級,會員或國籍的,徽章,袖章,勛章,徽章"
insignificant,"形,微不足道的,不重要的,不加上記號做,有,性質的,形容詞不避加上表示重要的記號"
insincere,"不誠實的,無誠意的,偽善的"
insincerely,不真誠地
insincerity,"偽善,無誠意,不誠實"
insinuate,"記,進入,彎曲,繞彎說出來,含沙射影,旁敲側擊地說,含沙射影地說,逐漸陰險地輸入某種思想,參,蜿蜒的,不老實的,類,滲透是不知不覺進入含沙射影是不知不覺說出,使逐步而巧妙地取得,使迂回地潛入,或擠入,使慢慢滋長,含沙射影地說"
insipid--0,"乏味的,無聊的,開頭,解,乏味,可用於兩兩個方面食物,內容無聊,有味道的"
insist,"堅持,堅決要求,定要,堅持,堅決要求,定要"
insistent,"堅持的,持續的,引人注目的"
insolence,"傲慢,自大,自大的,無禮的,記,不,收斂"
insolent--0,"粗魯無禮的,傲慢的,記法習慣不習慣禮節顯得出魯傲慢"
insoluble,"記,可溶解的,根,松開,在水中松開,可溶解的,不溶的,不能解決的,類,有浮力的無法下沉不能溶解的無法溶解,不能溶解的,不能解決的"
insolvency,"記,有償付能力,破產的,源于,解決,解答,有能力解決債務問題,破產,無力償付債務的狀態,反,有償還能力,無力償還,破產"
insomnia--0,"記,不,睡覺,病症,不睡的病,失眠症,失眠症,失眠,參,催眠的,催眠的,想睡的,類,失眠症無法睡眠閱讀障礙症無法閱讀,失眠,失眠症"
insouciant--0,"漫不經心的,不在乎的,記法,不再,招喚"
inspection,"檢查,檢閱,視察"
inspiration,"通過思考而得的,靈感,人的心靈受刺激而達到更高層次情感的東西,如突然的創造性行為或想法,參,期滿,斷氣,渴望,熱望,得到靈感的"
inspire,"使感動,激發,啟示,吸入,鼓舞,產生,使生靈感,吸入,賦予靈感"
inspired--0,"受到啟發的,有靈感的"
inspiring,"激勵人心的,啟發靈感的"
install,"安裝,安置,使就職命令裝入結束且駐留軟體"
instantaneous--0,"即時的,瞬間的,同時發生的"
instate,"記,進入,狀態,任命,就職,任命,就職,反,剝奪,取代,驅逐,任命"
instigate--0,"慫恿,唆使,煽動反,鎮壓"
instill,"逐漸灌輸,徐徐地教導"
instinctive--0,"出於,本能的,出於,天性的,來自,直覺的"
institute,"動詞,創立,設立,開始,名詞,專科性的,學校,大學,研究所"
institution,"公共機構,協會,制度"
institutionalized,"制度化的,有組織的,使成慣例的"
institutions,機構
instruct,"指示,吩咐,命令,教導,指導"
instruction,"指示,用法說明,書,教育,指導,指令"
instructive--0,"有啟發性的,有教育意義的"
instrumental,"形容詞,有幫助的,使用,器械的"
instrumentalist,"樂器演奏者,類,樂器演奏者組成管弦樂隊演員組成劇團,樂器演奏者表演交響樂舞蹈者表演芭蕾,指揮指導樂器演奏者導演指導演員,樂器演奏家,樂器家,工具主義者"
insubordinate--0,"不服從的,違抗的,類"
insubstantial--0,"无实体的,无实质的,非实在的"
insufficient,"不夠的,不能勝任的,不充足的"
insular--0,"島嶼的,與世隔絕的,思想狹隘的,胰島的反,全球的,世界性的"
insularity,"島國性質,思想,觀點等的,偏狹,反,四海一家,大同主義,島國性質,或狀態,島嶼生活狀況,與外界隔絕的生活狀況,思想,觀點等的,偏狹,性僵化"
insulate,"使隔熱,使隔音,使絕緣"
insulin,"胰島素,一種激素,作用于葡萄糖向降低血糖的糖原轉化的過程,類,胰臟分泌胰島素肝臟分泌膽汁,胰島素"
insult,"動詞,侮辱,羞辱,名詞,侮辱,羞辱"
insulting,"侮辱性的,欺負人的"
insults,侮辱
insurgent,"叛亂的,起來反抗當局或當權的政府的,叛亂分子,政黨內部的,反對派,類,吝嗇鬼的特點是吝嗇反叛者特點是反叛"
insurrection,"記,裡面,下面,豎直,站,國家裡面的下等人站直了,造反,造反,叛亂,公開反抗國內政權的行為,參,正直,公正,複興,複活,起義"
int,"取整,執行中斷例行副程式"
intact,"完整無缺的,原封不動的,未受損傷的"
intangibility,"無形,不可接觸,不可把握,反,明白,可觸知性,無形,不能把握,不可解"
intangible--0,"觸摸不到的,無形的,無實體的"
integral,"積分,整數,整體的,整數的,積分的積分"
integrate,"綜合,使結合,使成整體,成一體,完整的,完全的"
integrity--0,"正直,誠實,完整未受損害的狀態類一般的有一般性整體的有整體性真實的有真實性反,不完全,感染,污點"
intellect--0,"名詞,智力,理解力,有才智的人"
intellectual,"有知識者,知識分子,憑理智做事者,智力的,知性的,聰明的"
intelligence,"智力,聰明,理解力,情報,諜報,資訊"
intelligent,"聰明的,伶俐的,有才智的"
intelligible--0,"可理解的,易理解的,明瞭的"
intemperance--0,"粗暴無禮的,不切題的,不中肯的"
intemperate,"在飲酒方面,無節製的,放縱的反,平靜的,拘泥的,受約束的"
intended,"有意的,故意的,已訂婚的已訂婚者"
intense,"非常的,強烈的,緊張的,熱情的"
intensely,"強烈地,極度強烈地,劇烈地,猛烈地熱情地,熱切地緊張地,認真地"
intensify,"動詞,加強,增強"
intensity,"強烈,劇烈,感情的,強烈程度"
intent,"目的,意圖,意義,含義,熱心的,專心致志的"
intention,"意圖,意向,打算"
intentional,"記,意圖,目的,意向,想要,打算,有意圖的,故意的,反,不注意的,無意中做的,有意圖的,故意的"
intentionally,"故意地,有意地"
inter,"在,之間,之中,在,中間"
interaction,"互動,互相影響"
intercede,"說好話,代為求情,在裡面走說好話讓他能在裡面走"
intercept--0,"截取,妨礙,截距,攔截,阻止,截取"
intercessor,"記原指為他人向上帝祈禱或祈求,源于,為別人說好話,求情,調停,中間,走,在兩人之間走一為別人求情,仲裁者,調停人,類,仲裁者仲裁預言家預言翻譯家翻譯,仲裁者,調解人"
interchangeable--0,"可以相互交換的,類,意義相同的是同義的功能相同是可互換的,可互換的"
interdependence--0,互相依賴
interdict,"記原指一項基督教禁令將某人或某地排除在大部分聖禮之外,並不準以基督教形式安葬,中間,說在內部說出的禁令,官方禁止,官方的或法律上的,禁止,阻斷,封鎖,以火力切斷或毀壞交通線以阻止敵人前進,反,批準,阻斷"
interest,"興趣,感興趣的事,愛好,利益,重要性,利息,行業,使發生興趣"
interest/lacking,興趣/缺乏
interested,"有利害關係的,感興趣的"
interesting,"有趣的,引起興趣的"
interests,"興趣,關注,愛好"
interfere,"干涉,幹預,妨礙,打擾,抵觸,沖突"
interference--0,"干涉,幹預,妨礙,打擾,抵觸,沖突,干涉,幹擾"
interim,"中間的,暫時的,臨時的,間歇的中間時期,過渡時期,暫定"
interjection,"感歡詞,插入之語詞"
interlacing,隔行掃描
interlock,"使,連結,使,聯鎖聯鎖,連結"
